old_entity,old_type,action,new_entity,new_type,confidence,rationale
Gregory Maxwell,Person,merge_into,Greg Maxwell,Person,0.99,orthographic/canonical merge
J.R. Willet,Person,merge_into,J.R. Willett,Person,0.99,surname spelling correction
Jeff Wilcke (Go Ethereum),Person,merge_into,Jeffrey Wilcke,Person,0.98,descriptor variant
Eric Voorhees,Person,merge_into,Erik Voorhees,Person,0.97,first-name spelling variant
Shaoling Fry,Person,merge_into,Shaolin Fry,Person,0.97,spelling variant
Theymos (administrateur BitcoinTalk),Person,merge_into,Theymos,Person,0.96,descriptor variant
Luke-Jr (Luke Dashjr),Person,merge_into,Luke Dashjr,Person,0.96,alias variant
Alex Mizrahi (ChromaWay),Person,merge_into,Alex Mizrahi,Person,0.95,descriptor variant
Mastercoin / Omni,Protocol,merge_into,Mastercoin / Omni Layer,Protocol,0.95,canonical protocol label
Objet-frontière (boundary object),Concept,merge_into,Objets-frontières (Boundary Objects),Concept,0.9,singular/plural FR-EN variant
Discretion contrainte,Concept,merge_into,Discrétion contrainte (Constrained Discretion),Concept,0.95,accent + english gloss
Double depense,Concept,merge_into,Double dépense (double spend),Concept,0.98,accent variant
Empreinte numerique / Hash,Concept,merge_into,Empreinte numérique,Concept,0.9,technical synonym
Disponibilite (propriete DLT),Concept,merge_into,Disponibilité,Concept,0.92,technical gloss variant
Passerelle / Gateway,Concept,merge_into,Passerelle (gateway / on-off ramp),Concept,0.92,canonical with gloss
Politique de crise,Concept,merge_into,Politique de crises,Concept,0.93,singular/plural normalization
Gouvernance duale (CM),Concept,merge_into,Gouvernance duale,Concept,0.93,remove redundant qualifier
"Limitation de taille des blocs (1 Mo, Bitcoin)",Concept,merge_into,Limite de taille des blocs Bitcoin (1 Mo),Concept,0.96,canonical wording
Bitmain,Person,retype,Bitmain,Organization,0.99,company/platform cannot be Person
CEX.io,Person,retype,CEX.io,Organization,0.99,exchange platform cannot be Person
Desmedt et Lakomski-Laguerre,Person,flag_split,Desmedt ; Lakomski-Laguerre,Person,0.85,co-authors should be split or moved to bibliography layer
EHESS,ActorGroup,retype,EHESS,Institution,0.99,academic institution
CEMS,ActorGroup,retype,CEMS,Institution,0.97,academic institution/lab
CEMI,ActorGroup,retype,CEMI,Institution,0.97,research institution
CNRS,ActorGroup,retype,CNRS,Institution,0.99,public research institution
Banque de France,ActorGroup,retype,Banque de France,Institution,0.99,central banking institution
Banque centrale européenne,ActorGroup,retype,Banque centrale européenne,Institution,0.99,supranational institution
Banque mondiale,ActorGroup,retype,Banque mondiale,Institution,0.99,international institution
BRI,ActorGroup,retype,BRI,Institution,0.98,international institution
Université de Münster,ActorGroup,retype,Université de Münster,Institution,0.98,university
Coinbase,ActorGroup,retype,Coinbase,Organization,0.99,named company
Kraken,ActorGroup,retype,Kraken,Organization,0.99,named company
BitPay,ActorGroup,retype,BitPay,Organization,0.99,named company
Ledger,ActorGroup,retype,Ledger,Organization,0.99,named company
Ethereum Foundation,ActorGroup,retype,Ethereum Foundation,Institution,0.95,foundation institution
Blockstream,ActorGroup,retype,Blockstream,Organization,0.99,named company
Slock.it,ActorGroup,retype,Slock.it,Organization,0.99,named company
Dell,ActorGroup,retype,Dell,Organization,0.99,named company
Robinhood,ActorGroup,retype,Robinhood,Organization,0.99,named company
MtGox,ActorGroup,retype,MtGox,Organization,0.98,named exchange/company
Bitfinex,ActorGroup,retype,Bitfinex,Organization,0.98,named exchange/company
Tether Limited,ActorGroup,retype,Tether Limited,Organization,0.99,named company
Core Developers (Bitcoin),ActorGroup,rename_retype,Core Developers (Bitcoin),StakeholderGroup,0.9,empirical collective distinct from broad actor categories
Core Developers (Ethereum),ActorGroup,rename_retype,Core Developers (Ethereum),StakeholderGroup,0.9,empirical collective distinct from broad actor categories
Mineurs Bitcoin,ActorGroup,rename_retype,Mineurs Bitcoin,StakeholderGroup,0.86,empirical collective
Pools de minage,ActorGroup,rename_retype,Pools de minage,StakeholderGroup,0.88,empirical collective
Opérateurs de nœuds complets,ActorGroup,rename_retype,Opérateurs de nœuds complets,StakeholderGroup,0.88,empirical collective
Fournisseurs de portefeuilles,ActorGroup,rename_retype,Fournisseurs de portefeuilles,StakeholderGroup,0.88,empirical collective
Développeurs,StakeholderCategory,keep,Développeurs,StakeholderCategory,0.99,broad analytical category
Mineurs et assimilés,StakeholderCategory,keep,Mineurs et assimilés,StakeholderCategory,0.99,broad analytical category
Nœuds complets,StakeholderCategory,keep,Nœuds complets,StakeholderCategory,0.99,broad analytical category
Fournisseurs de portefeuilles,StakeholderCategory,keep,Fournisseurs de portefeuilles,StakeholderCategory,0.99,broad analytical category
Bourses d’échange,StakeholderCategory,keep,Bourses d’échange,StakeholderCategory,0.99,broad analytical category
Bitcoin Core (repo),ActorNonHuman,retype,Bitcoin Core (repo),CodeRepository,0.99,repository
Bitcoin-QT / Bitcoin Core (client),ActorNonHuman,retype,Bitcoin-QT / Bitcoin Core (client),SoftwareClient,0.99,software client
Go-Ethereum,ActorNonHuman,retype,Go-Ethereum,SoftwareClient,0.99,software client
Ethereum Virtual Machine,ActorNonHuman,retype,Ethereum Virtual Machine,SoftwareSubsystem,0.97,technical subsystem
Bitcoin Magazine,ActorNonHuman,retype,Bitcoin Magazine,MediaOutlet,0.99,media
SatoshiDice,ActorNonHuman,retype,SatoshiDice,PlatformService,0.96,service/platform
Silk Road,ActorNonHuman,retype,Silk Road,Marketplace,0.97,marketplace
WikiLeaks,ActorNonHuman,retype,WikiLeaks,Organization,0.92,organization/platform rather than nonhuman artifact
WordPress,ActorNonHuman,retype,WordPress,PlatformService,0.93,service/platform
ShapeShift,ActorNonHuman,retype,ShapeShift,PlatformService,0.95,platform service
Trezor,ActorNonHuman,retype,Trezor,HardwareDevice,0.96,hardware wallet
Blockchain.info,ActorNonHuman,retype,Blockchain.info,PlatformService,0.95,platform service
The DAO,ActorNonHuman,rename_retype,The DAO,SmartContractSystem,0.97,smart-contract organization/system
Monétisation,Concept,keep_promote,Monétisation,CoreConcept,0.99,central concept
Infrastructure sociotechnique,Concept,keep_promote,Infrastructure sociotechnique,CoreConcept,0.98,central concept
Développement carnavalesque,Concept,keep_promote,Développement carnavalesque,CoreConcept,0.98,central concept
Gouvernance polycentrique,Concept,keep_promote,Gouvernance polycentrique,CoreConcept,0.98,central concept
Gouvernance duale,Concept,keep_promote,Gouvernance duale,CoreConcept,0.98,central concept
Mise en crise / Remise en ordre,Concept,keep_promote,Mise en crise / Remise en ordre,CoreConcept,0.95,central concept
Nominalisme monétaire non étatiste,Concept,keep_promote,Nominalisme monétaire non étatiste,CoreConcept,0.97,central concept
Logique de consensus distribué,Concept,keep_promote,Logique de consensus distribué,SecondaryConcept,0.92,important but subordinate
Interopérabilité,Concept,keep_promote,Interopérabilité,SecondaryConcept,0.9,secondary concept
Double dépense (double spend),Concept,keep_promote,Double dépense (double spend),TechnicalConcept,0.95,technical concept
Nonce,Concept,keep_promote,Nonce,TechnicalConcept,0.99,technical concept
OP_RETURN,Concept,keep_promote,OP_RETURN,TechnicalConcept,0.99,technical concept
Arbre de Merkle,Concept,keep_promote,Arbre de Merkle,TechnicalConcept,0.99,technical concept
Code is law,Concept,retype,Code is law,NativeFormula,0.96,slogan/native formula
"Not your keys, not your coins",Concept,retype,"Not your keys, not your coins",NativeFormula,0.96,slogan/native formula
