id;origine;date;precision;date_brute;nature;intitule;phase;domaine_8;systeme;acteur_principal;acteur_secondaire;arene;type_acte;type_acte_2;effet_prop_monetaires;crise;crisis_no;cve;fil;source;source_graphe;acteurs_graphe;occurs_in;variantes;notes;gid;codage_statut;codage_justif;statut_ligne;acteur_principal_mode;acteur_principal_id;acteur_principal_nom
G122;graphe;1998;annee;;acte;ICANN : gouvernance centralisée du DNS (cible cypherpunk);poc;vi;altcoin;;;;;;nd;non;;;;graphe v97 (Chapitre I);I.2.1 Un protocole deborde de carnavalesques improvisations d acteurs;;Phase de preuve de concept [DevelopmentPhase];;Organisme gouvernemental américain administrant le DNS. Cible des critiques cypherpunks : censure, surveillance, hégémonie américaine. Justification principale de Namecoin (DeNardi;feb3b3b528af4403a43cb63516a4f212;;;chantier;;;
G127;graphe;2004;annee;;acte;RipplePay : réseau de confiance P2P précurseur de Ripple (Ryan Fugger, 2004);poc;;altcoin;;;;;;nd;non;;;;graphe v97 (Chapitre I);I.2.1 Un protocole deborde de carnavalesques improvisations d acteurs;;Phase de preuve de concept [DevelopmentPhase];;Réseau de prêts directs entre utilisateurs créé par Ryan Fugger (2004). Précurseur conceptuel de Ripple/XRP. Inspira OpenCoin (BitMEX Research 2018b).;58f3e1dccd4c42d9ba7194d20314ed57;;;chantier;;;
E001;catalogue+graphe;2008-07-18;jour;;acte;Depot du nom de domaine bitcoin.org;poc;iv;bitcoin;core_devs;;entreprises_services;innovation_infrastructurelle;;nd;non;;;genese;ch.I l.265 + l.113 + fig. n6 V2.8 (bin);III.1 Crise Bitcoin CVE 2018-17144 : d'une crise à de nombreuses autres… | III.1.1 — Présentation périodisée : une mise en crise longue et silencieuse (CVE 2018) | I.1 Quand Bitcoin définit son monde… : l'aloi politique d'une CM pionnière;;Phase de preuve de concept [DevelopmentPhase];InfrastructureEvent — Dépôt du nom de domaine bitcoin.org;borne d'ouverture de la chronologie [CHANTIER: l.113 situe l'enregistrement en janv. 2009];92481a368bd24325a8990decb62e666b;valide(calibrage);;douteuse;;;
E002;catalogue;2008-10-31;jour;;acte;Publication du WP via la Cryptography Mailing List;poc;iv;bitcoin;core_devs;;listes_forums;innovation_protocolaire;;nd;non;;;genese;ch.I l.113 + fig. n6 V2.8 (bin);;;;;;;valide(calibrage);;validee;;;
G071;graphe;2008-10-31;jour;;acte;Publication du WP Bitcoin (mailing list);poc;iv;bitcoin;;;;;;nd;non;;;;graphe v97 (chapitre nd);III.1 Crise Bitcoin CVE 2018-17144 : d'une crise à de nombreuses autres… | III.1.1 — Présentation périodisée : une mise en crise longue et silencieuse (CVE 2018) | I.1 Quand Bitcoin définit son monde… : l'aloi politique d'une CM pionnière;;Phase de preuve de concept [DevelopmentPhase];;Publication du whitepaper Bitcoin 'A Peer-to-Peer Electronic Cash System' par Satoshi Nakamoto sur la mailing list cryptographique le 31 octobre 2008.;ab2449a123164aa3adff6b180035c327;;;chantier;;;
G072;graphe;2008-12-10;jour;;acte;Nakamoto annonce une liste de diffusion dédiée (SourceForge);poc;iv;bitcoin;;;;;;nd;non;;;;graphe v97 (chapitre nd) + fig. n6 V2.8 (bin);I.2.1 Un protocole deborde de carnavalesques improvisations d acteurs;Martti Malmi;Phase de preuve de concept [DevelopmentPhase];;Nakamoto crée le projet Bitcoin sur SourceForge en novembre 2008, ouvrant la collaboration au public avant le lancement officiel du réseau.;031391f624304483a4b820df6efea622;;;chantier;;;
E003;catalogue;2009-01-03;jour;;acte;Enregistrement de genese;poc;vi;bitcoin;core_devs;;on_chain;innovation_protocolaire;;nd;non;;;genese;ch.I l.169 + n.14 l.487;;;;;titre du Times inscrit (n.14) - encadre rouge fig.;;valide(calibrage);;validee;;;
G013;graphe;2009-01-03;jour;;acte;Genesis Block — Lancement du protocole Bitcoin;poc;vi;bitcoin;core_devs;;depots_de_code;innovation_protocolaire;;nd;non;;;genese;graphe v97 (chapitre nd) + fig. n6 V2.8 (bin);III.1 Crise Bitcoin CVE 2018-17144 : d'une crise à de nombreuses autres… | III.1.1 — Présentation périodisée : une mise en crise longue et silencieuse (CVE 2018) | I.1 Quand Bitcoin définit son monde… : l'aloi politique d'une CM pionnière;;;;M1 (15/08/2026) : Genesis est un lancement, pas une crise — crise=non, acte de genese protocolaire. Doublon signale et non fusionne avec E003 (texte, calibrage) et G063 (graphe);c8b77447d55c4ff08810620dc9370f67;propose(lot1);"arbitrage M1 du 15/08/2026 : le crisisType=GENESIS du wiki ne fait pas de cette ligne une crise analytique. Lancement du protocole (innovation_protocolaire, grille v1 : « lancements de protocoles inclus ») ; initiateur S. Nakamoto ; effet nd";douteuse;initiateur;10960c9c308b4a3dad7ff86a20a1d2b5;Satoshi Nakamoto
G063;graphe;2009-01-03;jour;;acte;Genesis Block / lancement du protocole;poc;vi;bitcoin;;;;;;nd;non;;;;graphe v97 (chapitre nd);I.2.1 Un protocole deborde de carnavalesques improvisations d acteurs;;Phase de preuve de concept [DevelopmentPhase];;Premier bloc Bitcoin miné par Satoshi Nakamoto le 3 janvier 2009, contenant la une du Times de Londres sur le renflouement des banques, message fondateur.;70d79dda054d462086a5472657b011a7;;;chantier;;;
E004;catalogue+graphe;2009-01-09;jour;;acte;Publication du client Bitcoin-Qt v0.1;poc;iii;bitcoin;core_devs;;depots_de_code;innovation_protocolaire;;nd;non;;;portefeuilles;ch.I l.269 + fig. n6 V2.8 (bin);III.1 Crise Bitcoin CVE 2018-17144 : d'une crise à de nombreuses autres… | III.1.1 — Présentation périodisée : une mise en crise longue et silencieuse (CVE 2018) | I.1 Quand Bitcoin définit son monde… : l'aloi politique d'une CM pionnière;;Phase de preuve de concept [DevelopmentPhase];;le texte situe le client dans le domaine portefeuilles (orange) — [CHANTIER domaine : texte iii / figure iv];6c92b4f54bb54499b7e2d2c0625fccf7;valide(calibrage);;a_arbitrer;;;
