nom_actuel;entity_id;type_actuel;degre;categorie;preuve_pdf;conflit;risque_conflation;recommandation;justification
"The Madhatter";9b9c6eb4c0914b95a4cd087d1f5517b7;Reference;1;douteuse;aucune (cité via « SEDGWICK Kai, 2019b, Bitcoin History Part 21: Miners Pour One out for Satoshi », aucune entrée Madhatter);aucun sur le nom, mais la relation authored vers la Person GameKyuubi (pseudonyme distinct, auteur du post HODL) est erronée;moyen;arbitrage-auteur;Pseudonyme BitcoinTalk cité de seconde main (« "The Madhatter" cité par Sedgwick 2019b », chap. I) sans entrée d'auteur au PDF. Retyper supposerait de corriger d'abord la relation authored -> GameKyuubi qui soude deux pseudonymes distincts.
Alain Maucourant;4722e76151654d63a64bf4ef0c209a4e;Reference;1;douteuse;aucune (aucune entrée MAUCOURANT — « Maucourant et Plociniczak 2012 » cité dans l'introduction est lui-même absent du PDF);le nœud dit « Alain », prénom attesté nulle part, l'économiste co-auteur de Plociniczak est Jérôme Maucourant;eleve;arbitrage-auteur;Fiche sans description au prénom inventé: la retyper graverait une personne fausse. Alternative: renommer « Jérôme Maucourant » puis retyper (preuve hors bibliographie) ou laisser Reference.
Audrey Takkal Bataille;ec901513fae144a0a350e798b0351c6d;Reference;1;douteuse;« FAVIER Jacques et TAKKAL BATAILLE Adli, 2017, Bitcoin, la monnaie acéphale, Paris, Cnrs, 280 p. »;le nœud dit « Audrey », la bibliographie ne connaît que TAKKAL BATAILLE Adli;moyen;renommer-puis-retyper;Unique entrée TAKKAL BATAILLE du PDF, co-auteur de La monnaie acéphale citée au chap. II, aucun homonyme dans v110: renommer « Adli Takkal Bataille » puis retyper Person.
Christine Desan;bec0b6b26cb44424abbd499b86ebc87a;Reference;1;douteuse;aucune;aucun (prénom non contredit, aucune entrée DESAN au PDF);faible;arbitrage-auteur;Juriste (Harvard Law) citée selon la description via Théret et Blanc, identité réelle unique mais aucune entrée d'auteur au PDF. Alternative: retyper sur notoriété (hors preuve bibliographique) ou laisser Reference.
De Boyer des Roches et Rosales;5f599a1fd9eb23ccf1dae9d84c3cd76b;Reference;8;multi-auteurs;« BOYER DES ROCHES Jérôme, DE et ROSALES Ricardo Solis, 2003, « Les approches classiques du prêteur en dernier ressort »;fiche à deux auteurs, ne peut porter aucune identité de personne unique;eleve;laisser-reference;Retyper fusionnerait Jérôme de Boyer des Roches et Ricardo Solis Rosales en une seule Person. Doublon fonctionnel du nœud daté « De Boyer des Roches & Rosales 2003 » (4ccbb429), fusion éventuelle à l'arbitrage.
Desmedt et Lakomski-Laguerre;458f2205963eb70d776d08e70310cd09;Reference;10;multi-auteurs;« DESMEDT Ludovic et LAKOMSKI-LAGUERRE Odile, 2015, « L'alternative monétaire Bitcoin : une perspective institutionnaliste »;fiche à deux auteurs, et la Person existante « Mathieu Desmedt » (1c923ad8) porte un prénom contredit par le PDF (Ludovic);eleve;laisser-reference;Retypage impossible (deux personnes réelles). Doublon fonctionnel du nœud daté « Desmedt & Lakomski-Laguerre 2015 » (d80bed08). Le renommage de la Person « Mathieu Desmedt » en Ludovic est un chantier distinct à arbitrer.
Emmanuel Macron;3a06841689ec4bebac553b2b7fc974b5;Reference;1;douteuse;aucune;aucun (prénom non contredit, aucune entrée MACRON au PDF);faible;arbitrage-auteur;Acteur politique (déclaration de Davos, relation debated in vers le paradoxe du bouc émissaire), pas une référence bibliographique. Alternative: retyper en Person comme acteur cité (hors périmètre bibliographique) ou laisser Reference.
Felix Albert;4d583f06ee5247f8bde64ae8dcfdc025;Reference;1;douteuse;« FELIXA pseudonyme, 2016a, « Updated: The next steps — part 2 – DAOhub » » et « FELIXA pseudonyme, 2016b » (patronyme Albert absent);l'équivalence FelixA = Felix Albert (membre du Slack DAOhub, chap. III) est plausible mais non attestée, et le nœud est rattaché cited in au chapitre I alors que les mentions du texte sont au chapitre III (sourcePage 295);moyen;arbitrage-auteur;Personne réelle nommée au chap. III (« Felix Albert et Auryn Macmillan ») mais la bibliographie ne connaît que le pseudonyme FELIXA: retypage sans preuve du patronyme, et ancrage de chapitre incohérent à corriger d'abord.
Florence Dufy;4efa5d34e66b4997be3c10dfeca63680;Reference;1;douteuse;« DUFY Caroline et WEBER Florence, 2007, L'ethnographie économique, La découverte, Paris, 122 p. »;le patronyme est celui de DUFY Caroline et le prénom celui de WEBER Florence — conflation de deux autrices réelles;eleve;arbitrage-auteur;« Florence Dufy » n'existe pas: fusion des deux co-autrices de L'ethnographie économique (incident documenté par l'audit du 06/08). Alternative: renommer « Caroline Dufy » puis retyper, ou réattribuer à Florence Weber si c'est elle que visait la fiche.
Gregor Loibl;be8ac28672e44ef6852fd5b1d80f3b90;Reference;2;douteuse;« LOIBL Andreas, 2014, « Namecoin », 2014, http://www.net.in.tum.de/fileadmin/TUM/NET/NET-2014-08-1/NET-2014-08-1_14.pdf »;le nœud dit « Gregor », la bibliographie ne connaît que LOIBL Andreas;moyen;renommer-puis-retyper;Le nœud est l'auteur du nœud « Loibl 2014 » (Namecoin) qui correspond exactement à l'entrée du PDF, unique Loibl, aucun homonyme: renommer « Andreas Loibl » puis retyper Person.
