famille_id;noms;entity_ids;nb_membres;types;classe;preuve;canonique_propose;annotation_candidate;justification
1;Aglietta & Orleans 2002 | Aglietta et Orléan 2002 | Aglietta & Orléan 2002 — Violence et confiance;02e004e015cc4982a33168f8d6432cab | 3b34cd1c6c37560d071ef4b881420fd8 | dfeba626b96846cf988d4020424196d5;3;Reference | Reference | AcademicWork, Reference;fusion-sure;AGLIETTA Michel et ORLÉAN André, 2002, La monnaie entre violence et confiance, Odile Jacob, Paris, 384 p.;02e004e015cc4982a33168f8d6432cab (deg=13);duplicateOf=02e004e015cc4982a33168f8d6432cab sur 3b34cd1c6c37560d071ef4b881420fd8, dfeba626b96846cf988d4020424196d5, reviewStatus=pending-author;Même auteur, même millésime, même œuvre : une seule entrée au PDF, les 3 nœuds n'en diffèrent que par la graphie/le libellé.
2;Aglietta et Cartelier 1998 | Aglietta & Cartelier 1998 — Ordre monétaire;78c9029a9c61594936bd680163cb0f75 | 4568cc431bce437ba36f137dbafbc67e;2;Reference | AcademicWork, Reference;fusion-sure;AGLIETTA Michel et CARTELIER Jean, 1998, « Ordre monétaire des économies de marché » dans La monnaie souveraine, s.l., p;78c9029a9c61594936bd680163cb0f75 (deg=9);duplicateOf=78c9029a9c61594936bd680163cb0f75 sur 4568cc431bce437ba36f137dbafbc67e, reviewStatus=pending-author;Même auteur, même millésime, même œuvre : une seule entrée au PDF, les deux nœuds n'en diffèrent que par la graphie/le libellé.
3;Aglietta, Ponsot et Ould-Ahmed 2014 | Aglietta Ponsot Ould-Ahmed 2014 — Entretien;d1a9cf840d19b1564cd0157c785cee44 | 7e9c5d90afd24211b0d8ba706bdad15f;2;Reference | AcademicWork, Reference;fusion-sure;AGLIETTA Michel, PONSOT Jean-François et OULD-AHMED Pepita, 2014, « La monnaie, la valeur et la règle - Entretien avec M;d1a9cf840d19b1564cd0157c785cee44 (deg=5);duplicateOf=d1a9cf840d19b1564cd0157c785cee44 sur 7e9c5d90afd24211b0d8ba706bdad15f, reviewStatus=pending-author;Même auteur, même millésime, même œuvre : une seule entrée au PDF, les deux nœuds n'en diffèrent que par la graphie/le libellé.
4;Akrich 1989 | Akrich 1989 — Construction d'un système socio-technique;2528eba96a574f2491c28b0ab11b0974 | 750fdaa27a5d4030a626673d3110ddf2;2;Reference | AcademicWork, Reference;fusion-sure;AKRICH Madeleine, 1989, « La construction d’un système socio -technique – Esquisse pour une anthropologie des techniques;2528eba96a574f2491c28b0ab11b0974 (deg=15);duplicateOf=2528eba96a574f2491c28b0ab11b0974 sur 750fdaa27a5d4030a626673d3110ddf2, reviewStatus=pending-author;Même auteur, même millésime, même œuvre : une seule entrée au PDF, les deux nœuds n'en diffèrent que par la graphie/le libellé.
5;Andresen 2011 — Bitcoin v0.3.20.01 released | Andresen 2011;74f9134398d346a4b39be11431bc0baa | aff449b29cc249a281a508728901c18f;2;IndigenousLiterature, Reference | IndigenousLiterature, Reference;fusion-sure;ANDRESEN Gavin, 2011, « Bitcoin / [bitcoin-list] Bitcoin version 0.3.20.01 released ».;74f9134398d346a4b39be11431bc0baa (deg=29);duplicateOf=74f9134398d346a4b39be11431bc0baa sur aff449b29cc249a281a508728901c18f, reviewStatus=pending-author;Même auteur, même millésime, même œuvre : une seule entrée au PDF, les deux nœuds n'en diffèrent que par la graphie/le libellé.
6;Andresen 2012 BIP Process | Andresen 2012 — Blockchain Rule Update Process;65b4ab9b69ac4a968d99e39e11ec3774 | f8fb83d515424bad916e03ff5956d56d;2;Reference | IndigenousLiterature, Reference;fusion-sure;ANDRESEN Gavin, 2012, « Blockchain Rule Update Process », https://gist.github.com/gavinandresen/2355445 , 11 avril 2012,;65b4ab9b69ac4a968d99e39e11ec3774 (deg=6);duplicateOf=65b4ab9b69ac4a968d99e39e11ec3774 sur f8fb83d515424bad916e03ff5956d56d, reviewStatus=pending-author;Même auteur, même millésime, même œuvre : une seule entrée au PDF, les deux nœuds n'en diffèrent que par la graphie/le libellé.
7;Andresen 2016 | Andresen 2016 — One-dollar lulz;f8d9b4f12815491ba6ad9d2caa0387db | 63ed4d1a77544c98a047be919573aafb;2;GreyLiterature, Reference | IndigenousLiterature, Reference;fusion-sure;ANDRESEN Gavin, 2016, « One-dollar lulz • Gavin Andresen », http://gavinandresen.ninja/One - Dollar-Lulz , 3 mars 2016, ;f8d9b4f12815491ba6ad9d2caa0387db (deg=6);duplicateOf=f8d9b4f12815491ba6ad9d2caa0387db sur 63ed4d1a77544c98a047be919573aafb, reviewStatus=pending-author;Même auteur, même millésime, même œuvre : une seule entrée au PDF, les deux nœuds n'en diffèrent que par la graphie/le libellé.
8;Bano et al. 2017 | Bano et al. 2017 (Intro);206f2addc41144a8abb84aff060fc00f | 30dca2569de464285604c4babb93c7d9;2;Reference | Reference;fusion-sure;BANO Shehar, ALBERTO Sonnino, AL-BASSAM Mustafa, AZOUVI Sarah, MCCORRY, Patrick, MEIKLEJOHN Sarah et DANEZIS George, 201;206f2addc41144a8abb84aff060fc00f (deg=6);duplicateOf=206f2addc41144a8abb84aff060fc00f sur 30dca2569de464285604c4babb93c7d9, reviewStatus=pending-author;Même auteur, même millésime, même œuvre : une seule entrée au PDF, les deux nœuds n'en diffèrent que par la graphie/le libellé.
9;Bartoletti et Pompianu 2017 | Bartoletti & Pompianu 2017;b4b693b0021941cfbfc70e4f4afe3c5b | ae73f326b85f491da28770ac6b6b9bc9;2;AcademicWork, Reference | Reference;fusion-sure;BARTOLETTI Massimo et POMPIANU Livio, 2017, « An analysis of Bitcoin OP RETURN metadata », arXiv preprint arXiv:1702.010;b4b693b0021941cfbfc70e4f4afe3c5b (deg=6);duplicateOf=b4b693b0021941cfbfc70e4f4afe3c5b sur ae73f326b85f491da28770ac6b6b9bc9, reviewStatus=pending-author;Même auteur, même millésime, même œuvre : une seule entrée au PDF, les deux nœuds n'en diffèrent que par la graphie/le libellé.
10;Bitcoin Core 2018a — CVE-2018-17144 Full Disclosure | Bitcoin Core 2018 Rapport divulgation;dd3e2896aaa6408a84dded4e2922471e | 3d0cbcef5e434da1adc012942e302113;2;IndigenousLiterature, Reference | Reference;fusion-sure;BITCOIN CORE, 2018a, « CVE-2018-17144 Full Disclosure », https://bitcoincore.org/en/2018/09/20/notice/, 20 septembre 201;dd3e2896aaa6408a84dded4e2922471e (deg=29);duplicateOf=dd3e2896aaa6408a84dded4e2922471e sur 3d0cbcef5e434da1adc012942e302113, reviewStatus=pending-author;Même auteur, même millésime, même œuvre : une seule entrée au PDF, les deux nœuds n'en diffèrent que par la graphie/le libellé.
11;Bitmex Research 2017b — Revisiting The DAO | Bitmex Research 2017 DAO Hard Fork;a42a1798e79d47b7a9e3a02921b24cf7 | 02ecb7bc25414f3391f3c67145607241;2;GreyLiterature, Reference | Reference;fusion-sure;BITMEX RESEARCH, 2017b, « Revisiting “The DAO” », BitMEX Blog , https://blog.bitmex.com/revisiting-the-dao/ , 22 novembr;a42a1798e79d47b7a9e3a02921b24cf7 (deg=19);duplicateOf=a42a1798e79d47b7a9e3a02921b24cf7 sur 02ecb7bc25414f3391f3c67145607241, reviewStatus=pending-author;Même auteur, même millésime, même œuvre : une seule entrée au PDF, les deux nœuds n'en diffèrent que par la graphie/le libellé.
12;BitMEXResearch 2022 | BitMEXResearch 2022 — The OP_Return Wars;20c955b4d08b43238954a2ddc14020d6 | 9131cfdb8b884b59a0ad14fc1d7ed92b;2;GreyLiterature, Reference | Reference;fusion-sure;BITMEXRESEARCH, 2022, « The OP_Return Wars of 2014 - Dapps Vs Bitcoin Transactions », https://blog.bitmex.com/dapps-or-o;20c955b4d08b43238954a2ddc14020d6 (deg=11);duplicateOf=20c955b4d08b43238954a2ddc14020d6 sur 9131cfdb8b884b59a0ad14fc1d7ed92b, reviewStatus=pending-author;Même auteur, même millésime, même œuvre : une seule entrée au PDF, les deux nœuds n'en diffèrent que par la graphie/le libellé.
13;Blanc 1998 Monnaies paralleles | Blanc 1998a — Les monnaies parallèles approches historiques | Blanc 1998a;7094b28621af4595939c08525b718f39 | a906b88366234d5d97901ee6cb3673d2 | c1ac22eb78bd1c844d95c0c13b2f57b7;3;Reference | AcademicWork, Reference | Reference;homonymie-risque;BLANC Jérôme, 1998a, « Les monnaies parallèles. Approches historiques et théoriques », Université Lumière - Lyon II, 199 || BLANC Jérôme, 1998b, « Les monnaies parallèles : évaluation du phénomène et enjeux théoriques », Revue d'économie financ;;reviewStatus=homonym-check;Le PDF porte 1998a (thèse Lyon II) et 1998b (article) aux titres quasi identiques « Les monnaies parallèles » : le membre sans suffixe « Blanc 1998 Monnaies paralleles » est ambigu entre les deux.
14;Blanc 2009 IMF | Blanc 2009a — Monnaies sociales contraintes organisationnelles;38ffe3510ae04ff09cef5676920e4dc5 | 4df197e434614e35879f37a0c40d6679;2;Reference | AcademicWork, Reference;homonymie-risque;BLANC Jérôme, 2009a, « Contraintes et choix organisationnels dans les dispositifs de monnaies sociales », Annales de l’é || BLANC Jérôme, 2009b, « Usages de l'argent et pratiques monétaire » dans Presses Universitaires de France;;reviewStatus=homonym-check;Le PDF porte deux entrées Blanc 2009 (2009a et 2009b) : le membre « Blanc 2009 IMF » sans suffixe peut viser l'un ou l'autre - verification du texte cite requise.
15;Bohme et al 2015 Bitcoin Economics | Böhme et al. 2015 — Bitcoin Economics Technology Governance;56dc412f484748a8a5dab8f7a0bfa9c8 | 5c2cf7a5479d42bcaa2a9e3ee326ddf4;2;Reference | AcademicWork, Reference;fusion-sure;BÖHME Rainer, CHRISTIN Nicolas, EDELMAN Benjamin et MOORE Tyler, 2015, « Bitcoin: Economics, Technology, and Governance ;56dc412f484748a8a5dab8f7a0bfa9c8 (deg=25);duplicateOf=56dc412f484748a8a5dab8f7a0bfa9c8 sur 5c2cf7a5479d42bcaa2a9e3ee326ddf4, reviewStatus=pending-author;Même auteur, même millésime, même œuvre : une seule entrée au PDF, les deux nœuds n'en diffèrent que par la graphie/le libellé.
16;Bonneau et al. 2015 — SoK Bitcoin Cryptocurrencies | Bonneau et al. 2015;85ea3fbf6756411088682089319f9a25 | 762e6813527d4880b74075d23740679a;2;AcademicWork, Reference | AcademicWork, Reference;fusion-sure;BONNEAU Joseph, MILLER Andrew, CLARK Jeremy, NARAYANAN Arvind, KROLL Joshua A, FELTEN Edward W et FOUNDATION Electronic ;85ea3fbf6756411088682089319f9a25 (deg=23);duplicateOf=85ea3fbf6756411088682089319f9a25 sur 762e6813527d4880b74075d23740679a, reviewStatus=pending-author;Même auteur, même millésime, même œuvre : une seule entrée au PDF, les deux nœuds n'en diffèrent que par la graphie/le libellé.
17;Bowker 1996 Infrastructure Inversion | Bowker 1996 — History of Information Infrastructures;1fd79ed6648e43538068fa4540bc12b7 | f420ad44b02844fa853e4035b9ad224e;2;Reference | AcademicWork, Reference;fusion-sure;BOWKER Geoffrey C, 1996, « The history of information infrastructures: The case of the international classification of d;1fd79ed6648e43538068fa4540bc12b7 (deg=12);duplicateOf=1fd79ed6648e43538068fa4540bc12b7 sur f420ad44b02844fa853e4035b9ad224e, reviewStatus=pending-author;Même auteur, même millésime, même œuvre : une seule entrée au PDF, les deux nœuds n'en diffèrent que par la graphie/le libellé.
18;Brito & Castillo 2013 — Bitcoin: A Primer for Policymakers | Brito et Castillo 2013;d55f89936d9a4709af8104450ff9a174 | 7dd91d459a3396b0205fdb0f1cf0064d;2;Reference | Reference;fusion-sure;BRITO B Y Jerry et CASTILLO Andrea, 2013, « Bitcoin A Primer for Policymakers », Mercatus Center at George Mason Univers;d55f89936d9a4709af8104450ff9a174 (deg=21);duplicateOf=d55f89936d9a4709af8104450ff9a174 sur 7dd91d459a3396b0205fdb0f1cf0064d, reviewStatus=pending-author;Même auteur, même millésime, même œuvre : une seule entrée au PDF, les deux nœuds n'en diffèrent que par la graphie/le libellé.
19;Buterin 2013 Ethereum Whitepaper | Buterin 2013a;12c586ca60d94526a01963a1252861cf | 7be95456e6fd4fee9f0595e3aff2bf25;2;Reference | GreyLiterature, Reference;homonymie-risque;BUTERIN Vitalik, 2013a, « Ethereum: The Ultimate Smart Contract and Decentralized Application Platform », http://web.arc || BUTERIN Vitalik, 2013d, « Ethereum Whitepaper ». (trad en fr. https://ethereum.org/fr/whitepaper/);;reviewStatus=homonym-check;Le PDF distingue 2013a (« The Ultimate Smart Contract... ») et 2013d (« Ethereum Whitepaper », entrée sans nœud) : « Buterin 2013 Ethereum Whitepaper » correspond plutôt à 2013d qu'à 2013a - deux références possibles.
20;Buterin 2013b | Buterin 2013b — Mastercoin: A Second-Generation Protocol;876698e2a15d4e6da5912cb1c391e08b | da969e43bf3346daa39a9a1aa4982cb9;2;GreyLiterature, Reference | Reference;fusion-sure;BUTERIN Vitalik, 2013b, « Mastercoin: A Second-Generation Protocol on the Bitcoin Blockchain », https://bitcoinmagazine.;876698e2a15d4e6da5912cb1c391e08b (deg=11);duplicateOf=876698e2a15d4e6da5912cb1c391e08b sur da969e43bf3346daa39a9a1aa4982cb9, reviewStatus=pending-author;Même auteur, même millésime, même œuvre : une seule entrée au PDF, les deux nœuds n'en diffèrent que par la graphie/le libellé.
21;Buterin 2013c | Buterin 2013c — Bootstrapping a decentralized autonomous corporation (gambling diaspora);31a81419d5414f378aa59f43eb4e2bc9 | 50f03e74739b46fd88a4b6e55faa4a3e;2;GreyLiterature, Reference | Reference;homonymie-risque;BUTERIN Vitalik, 2013c, « The Bitcoin Gambling Diaspora », https://bitcoinmagazine.com/articles/the-bitcoin-gambling-dia;;reviewStatus=homonym-check;« Bootstrapping a decentralized autonomous corporation » est un autre article de Buterin (sept. 2013, absent du PDF) : le nœud conflate ce titre avec « The Bitcoin Gambling Diaspora » (2013c) - deux textes possibles derrière le même suffixe.
