patronyme_annee;entree_pdf;vraiment_absente;noeud_existant;quasi_doublon;categorie;type_propose;niveau_preuve;risque_ajout_inutile;justification
BIER 2018;BIER Jonathan, 2018, « BitMEX Research Sponsors Fork Monitoring Website », https://blog.bitmex.com/bitmex-research-sponsors-Fork-monitori…;oui;;;littérature-grise;Reference+GreyLiterature;entree-complete;moyen;ForkMonitor.info est décrit au chap. III mais sans appel (Bier 2018), seuls les chapitres Bier 2021a-f ont des nœuds
BITMEX RESEARCH 2018A;BITMEX RESEARCH, 2018a, « The bitcoin flash crash to $0.01 in June 2011 », BitMEX Blog , https://blog.bitmex.com/the-june-2011-flash-cras…;oui;;;littérature-grise;Reference+GreyLiterature;entree-complete;faible;Le flash crash à 0,01$ est cité chap. I sous la clé (BitMEX Research 2018), distincte des nœuds 2018 Implementations (f6f684376ae14491) et 2018b Ripple
BITMEX RESEARCH 2020A;BITMEX RESEARCH, 2020a, « Who Funds Bitcoin Development? », BitMEX Blog , https://blog.bitmex.com/who-funds-bitcoin-development/, 28 mars…;oui;;;littérature-grise;Reference+GreyLiterature;entree-complete;faible;Le financement des développeurs Bitcoin Core est cité chap. III (BitMEX Research 2020), seul 2020b a un nœud (308a84881f564614)
BUTERIN 2013D;BUTERIN Vitalik, 2013d, « Ethereum Whitepaper ». (trad en fr. https://ethereum.org/fr/whitepaper/) consulté le 21 octobre 2019.;non;12c586ca60d94526a01963a1252861cf — Buterin 2013 Ethereum Whitepaper;7be95456e6fd4fee9f0595e3aff2bf25 — Buterin 2013a;indigene;Reference+IndigenousLiterature;entree-partielle;faible;Le nœud existant décrit le whitepaper inaugural (A Next-Generation...), œuvre visée par cette entrée (trad. fr.), le corps cite (Buterin 2013d), l'audit avait apparié ce nœud à l'entrée 2013a — arbitrage de rattachement
BUTERIN 2021;BUTERIN Vitalik, 2021, « Why sharding is great: demystifying the technical properties », https://vitalik.ca/general/2021/04/07/sharding.h…;oui;;;indigene;Reference+IndigenousLiterature;entree-complete;faible;Le billet sharding est cité chap. I (Buterin (2021)) pour le trilemme des blockchains, aucun nœud Buterin 2021
CLASSIC ETHEREUM & ARVICCO 2016;CLASSIC Ethereum et ARVICCO (PSEUDONYME), 2016, « La déclaration d’indépendance d’Ethereum Classic », https://ethereumclassic.org/fr/blog…;oui;;;indigene;Reference+IndigenousLiterature;entree-complete;faible;La déclaration d'indépendance d'ETC est citée chap. III (Ethereum Classic et Arvicco 2016), document fondateur à valeur de source primaire, les nœuds Arvicco 2016a-c couvrent d'autres billets
DAI 1998;DAI Wei, 1998, « B-money », https://nakamotoinstitute.org/library/b-money/, consulté le 12 février 2016.;oui;;d2920ac9d599485c8ec06bcfb91dba1c — b-money (Dai 1998);indigene;Reference+IndigenousLiterature;entree-complete;faible;B-money massivement discuté chap. I-II via le concept b-money (Dai 1998), mais aucun nœud bibliographique pour le texte cypherpunk de 1998, source primaire indigène
DEMIRGÜÇ-KUNT & DETRAGIACHE 1998;DEMIRGÜÇ-KUNTASLI Asli et DETRAGIACHE Enrica, 1998, Financial Liberalization and Financial Fragility, World Bank, Development Research Gr…;oui;;0e1b15a0c0384dc59b546907c1940b0e — Demirgüç-Kunt & Detragiache 1998 — The determinants of banking crises in developing countries;academique;Reference+AcademicWork;entree-complete;faible;Cité une fois chap. II, le nœud existant porte les mêmes auteurs et la même année mais un autre article de 1998 (cf. audit 2.a) — possible import mal titré à arbitrer
FELIXA 2016B;FELIXA pseudonyme, 2016b, « Update3: The DAO is under attack — but Vitalik saved us », https://blog.daohub.org/the-dao-is-under-attack-8d…;oui;;b14deecace194e179efe007062f88fa1 — Felixa 2016a — DAO and Ethereum Classic analysis;indigene;Reference+IndigenousLiterature;entree-complete;faible;Cité chap. III (FelixA 2016b), seul le billet 2016a a un nœud
FRIEDMAN 1999 (ENTREE ANONYME);« Milton Friedman, Land value tax and internet currencies », 1999, https://www.youtube.com/watch?v=j2mdYX1nF_Y, consulté le 26 mai 2020;non;8a86eb7f81364573848e43b03d391a89 — Friedman Milton 1999 — Video interview on internet and private currencies (land value tax);a768338169584a618a8ef5b797b7b063 — Friedman Milton 1999 — Interview sur internet et monnaies privées;littérature-grise;Reference+GreyLiterature;entree-partielle;faible;Doublon interne du PDF (même URL YouTube que l'entrée FRIEDMAN Milton 1999), l'interview a déjà deux nœuds, cités chap. II (Friedman 1999)
