nom;entity_id;type_actuel;degre;cas;dans_bibliographie_md;dans_corps_these;porte_par_variante;statut_conclu;justification
Balakrishnan 2020 — Ethereum history;ca754ddf56d94f73bab72a7b9aac83b4;Reference;from=25/to=0;jamais-cite;oui;oui;;legitime-confirmee;Biblio l.104 « BALAKRISHNAN Ashwath, 2020, After Second Double Spend Attack, Ethereum Classic's Future Is in Question ». Cité dans les annexes uniquement (05_glossaire_annexes.md l.1078 : « (Voell 2020, Balakrishnan 2020) ») — le titre du nœud (« Ethereum history ») ne correspond pas au titre réel (attaque double dépense ETC).
Chainalysis Team 2019 — Crypto Crime Report;2e155d6cc3874a62b20de72700e34b27;Reference;from=1/to=0;jamais-cite;oui;oui;« Chainalysis Team 2019 » (0e225413a3db45f3934676e31efc9798, cited_in=1);legitime-confirmee;Biblio l.304 « CHAINALYSIS TEAM, 2019, Chainalysis Crypto Crime Report (2019) ». Corps : 01_chapitre_I.md l.287 « (Chainalysis Team 2019, p. 3 et 11) » — la citation est câblée sur le nœud jumeau 0e225413, ce nœud-ci est le doublon à fusionner (arbitrage Maël).
Chen 2011;72ad349cc28c4760a46521d685fca284;Reference,GreyLiterature;from=4/to=1;jamais-cite;oui;oui;;legitime-confirmee;Biblio l.324 « CHEN Adrian, 2011, The Underground Website Where You Can Buy Any Drug Imaginable ». Corps : 01_chapitre_I.md l.281 « l'écho du premier article sur Silk Road de Chen (2011) » — cité dans le texte mais zéro relation cited in, et contrairement à l'audit ce nœud n'a AUCUNE relation appears in section (ses 4 sorties : source of x2, contributes to, triggers).
Ethereum Foundation 2021 — Client ecosystem update;58187d64fb594e2a97c8504801d6be62;Reference;from=25/to=0;jamais-cite;oui;oui;;legitime-confirmee;Biblio l.454 « ETHEREUM FOUNDATION, 2021, Supporting Ethereum's Client Ecosystem ». Corps : 03_chapitre_III.md l.707 « doit favoriser cette diversité (Ethereum Foundation 2021) ».
Koning 2020 — Bitcoin as monetary system analysis;e467adcccb7b4b77b1fc44945f05b3fc;Reference;from=19/to=0;jamais-cite;oui;indirect;;legitime-confirmee;Biblio l.660 « KONING J.P, 2020, Moneyness: The bitcoin-to-salvia divinorum trade route » (seule entrée Koning 2020). Corps : 02_chapitre_II.md l.213 « Koning (2018b, 2018d, 2018c, 2018a, 2019c, 2019a, 2020b) » — cité sous le suffixe « 2020b » que la bibliographie ne connaît pas, et le titre du nœud est une paraphrase non conforme.
Renaud H. 2020 — Hal Finney: le premier utilisateur de Bitcoin;006e1228204f4706bd090941ce8c6079;Reference;from=19/to=0;parasite-signale;oui-cachee;non;;legitime-confirmee;Biblio l.542 « H Renaud, 2020, Qui était Hal Finney, le premier à recevoir des bitcoins de Satoshi Nakamoto ? » — graphie inversée (classée sous H), re-vérifiée directement dans 9_Bibliographie.pdf, et concaténée derrière « Gün Sirer et al. 2016 » avant la scission (commit 729e10a, ex-l.534). Aucune citation dans le corps : le passage Finney (01_chapitre_I.md l.265) cite Popper 2014 et Sedgwick 2018.
SEC 2017 — Report of Investigation Pursuant to Section 21(a) of the Securities Exchange Act of 1934: The DAO;8389f60409ca48bfa08285084ca94c5e;Reference;from=14/to=0;jamais-cite;oui-cachee;oui;;legitime-confirmee;Biblio l.1052 sous le nom développé « SECURITIES AND EXCHANGES COMMISSION The Commissions, 2017, Report of Investigation Pursuant to Section 21(a)... » (titre identique au nœud). Corps : 03_chapitre_III.md l.745 « (Securities and Exchanges Commission 2017) ».
Swissinfo 2016 — Zug becomes first municipality to accept Bitcoin;9247787990734af0a79946d996591f5f;Reference;from=19/to=0;jamais-cite;oui;oui;;legitime-confirmee;Biblio l.1168 « SWISSINFO.CH, 2016, Zug first to accept bitcoin for government services ». Corps : 02_chapitre_II.md l.571 (note 56) « Le canton de Zoug a adopté cette mesure dès 2016 ... (swissinfo.ch 2016) ».
Van Wirdum 2017 — Extension blocks proposal for Bitcoin scaling;9b75816e03174e6b842f30abd9eb2c55;Reference;from=22/to=0;jamais-cite;oui;oui;;legitime-confirmee;Biblio l.1290 « WIRDUM Aaron van, 2017, How Bitcoin Extension Blocks Are Backward Compatible — and How They're Not ». Corps : 02_chapitre_II.md l.406 « les débats s'intensifient en 2015 (Wirdum 2017) ».
Voell 2020 — Ethereum Classic double-spend attack;328882c6970247c19edf1db8f5d0dc60;Reference;from=24/to=0;jamais-cite;oui;oui;;legitime-confirmee;Biblio l.1248 « VOELL Zack, 2020, Ethereum Classic Attacker Successfully Double-Spends $1.68M in Second Attack ». Cité dans les annexes uniquement (05_glossaire_annexes.md l.1078 : « (Voell 2020, Balakrishnan 2020) »), pas dans intro/chapitres/conclusion.
Whiterabbit1111 2022 — Bitcoin NFTs and ordinal inscriptions;f1ef1301990c45d889da3a8db010fbcd;Reference;from=19/to=0;parasite-signale;oui;indirect;« Whitebbit1111 2022 » (4cf7803656584b009ba11f1a99fdb6e8, cited_in=1) et Person « Whitebbit1111 » (11596aed3e4340fdb6811050176a3c74);legitime-confirmee;Biblio l.1278 « WHITERABBIT1111, 2022, The origin digital antiquities market (NFTs) » — re-vérifiée directement dans 9_Bibliographie.pdf, concaténée derrière « White 2018 » avant la scission (commit 729e10a, ex-l.1254). Corps : cité sous la graphie fautive « (Whitebbit1111 2022) » (01_chapitre_I.md l.347), portée côté graphe par le nœud jumeau 4cf78036. Le titre du nœud (« ordinal inscriptions ») ne correspond pas au titre réel.
