id;origine;date;precision;date_brute;nature;intitule;phase;domaine_8;systeme;acteur_principal;acteur_secondaire;arene;type_acte;type_acte_2;effet_prop_monetaires;crise;crisis_no;cve;fil;source;source_graphe;acteurs_graphe;occurs_in;variantes;notes;gid
G122;graphe;1998;annee;;acte;ICANN : gouvernance centralisée du DNS (cible cypherpunk);poc;vi;;;;;;;nd;non;;;;graphe v97 (Chapitre I);I.2.1 Un protocole deborde de carnavalesques improvisations d acteurs;;Phase de preuve de concept [DevelopmentPhase];;Organisme gouvernemental américain administrant le DNS. Cible des critiques cypherpunks : censure, surveillance, hégémonie américaine. Justification principale de Namecoin (DeNardi;feb3b3b528af4403a43cb63516a4f212
G127;graphe;2004;annee;;acte;RipplePay : réseau de confiance P2P précurseur de Ripple (Ryan Fugger, 2004);poc;;;;;;;;nd;non;;;;graphe v97 (Chapitre I);I.2.1 Un protocole deborde de carnavalesques improvisations d acteurs;;Phase de preuve de concept [DevelopmentPhase];;Réseau de prêts directs entre utilisateurs créé par Ryan Fugger (2004). Précurseur conceptuel de Ripple/XRP. Inspira OpenCoin (BitMEX Research 2018b).;58f3e1dccd4c42d9ba7194d20314ed57
E001;catalogue+graphe;2008-07-18;jour;;acte;Depot du nom de domaine bitcoin.org;poc;iv*;bitcoin;core_devs;;entreprises_services;innovation_infrastructurelle;;nd;non;;;genese;ch.I l.265 + l.113;III.1 Crise Bitcoin CVE 2018-17144 : d'une crise à de nombreuses autres… | III.1.1 — Présentation périodisée : une mise en crise longue et silencieuse (CVE 2018) | I.1 Quand Bitcoin définit son monde… : l'aloi politique d'une CM pionnière;;Phase de preuve de concept [DevelopmentPhase];InfrastructureEvent — Dépôt du nom de domaine bitcoin.org;borne d'ouverture de la chronologie [CHANTIER: l.113 situe l'enregistrement en janv. 2009];92481a368bd24325a8990decb62e666b
E002;catalogue;2008-10-31;jour;;acte;Publication du WP via la Cryptography Mailing List;poc;iv*;bitcoin;core_devs;;listes_forums;innovation_protocolaire;;nd;non;;;genese;ch.I l.113;;;;;;
G071;graphe;2008-10-31;jour;;acte;Publication du WP Bitcoin (mailing list);poc;iv;;;;;;;nd;non;;;;graphe v97 (chapitre nd);III.1 Crise Bitcoin CVE 2018-17144 : d'une crise à de nombreuses autres… | III.1.1 — Présentation périodisée : une mise en crise longue et silencieuse (CVE 2018) | I.1 Quand Bitcoin définit son monde… : l'aloi politique d'une CM pionnière;;Phase de preuve de concept [DevelopmentPhase];;Publication du whitepaper Bitcoin 'A Peer-to-Peer Electronic Cash System' par Satoshi Nakamoto sur la mailing list cryptographique le 31 octobre 2008.;ab2449a123164aa3adff6b180035c327
G072;graphe;2008-12-10;jour;;acte;Nakamoto annonce une liste de diffusion dédiée (SourceForge);poc;iv;;;;;;;nd;non;;;;graphe v97 (chapitre nd);I.2.1 Un protocole deborde de carnavalesques improvisations d acteurs;Martti Malmi;Phase de preuve de concept [DevelopmentPhase];;Nakamoto crée le projet Bitcoin sur SourceForge en novembre 2008, ouvrant la collaboration au public avant le lancement officiel du réseau.;031391f624304483a4b820df6efea622
E005;catalogue+graphe;2009-01;mois;;acte;Fondation du forum Bitcointalk;poc;iv*;bitcoin;core_devs;communautes_forums;listes_forums;innovation_infrastructurelle;;nd;non;;;genese;ch.I l.113;III.1 Crise Bitcoin CVE 2018-17144 : d'une crise à de nombreuses autres… | III.1.1 — Présentation périodisée : une mise en crise longue et silencieuse (CVE 2018) | I.1 Quand Bitcoin définit son monde… : l'aloi politique d'une CM pionnière;;Phase de preuve de concept [DevelopmentPhase];;;06ac37fc6cf24af49ec79ec265159ad8
E003;catalogue;2009-01-03;jour;;acte;Enregistrement de genese;poc;vi;bitcoin;core_devs;;on_chain;innovation_protocolaire;;nd;non;;;genese;ch.I l.169 + n.14 l.487;;;;;titre du Times inscrit (n.14) - encadre rouge fig.;
G013;graphe;2009-01-03;jour;;acte;Genesis Block — Lancement du protocole Bitcoin;poc;;;;;;;;nd;oui;;;;graphe v97 (chapitre nd);III.1 Crise Bitcoin CVE 2018-17144 : d'une crise à de nombreuses autres… | III.1.1 — Présentation périodisée : une mise en crise longue et silencieuse (CVE 2018) | I.1 Quand Bitcoin définit son monde… : l'aloi politique d'une CM pionnière;;;;;c8b77447d55c4ff08810620dc9370f67
G063;graphe;2009-01-03;jour;;acte;Genesis Block / lancement du protocole;poc;vi;;;;;;;nd;non;;;;graphe v97 (chapitre nd);I.2.1 Un protocole deborde de carnavalesques improvisations d acteurs;;Phase de preuve de concept [DevelopmentPhase];;Premier bloc Bitcoin miné par Satoshi Nakamoto le 3 janvier 2009, contenant la une du Times de Londres sur le renflouement des banques, message fondateur.;70d79dda054d462086a5472657b011a7
E004;catalogue+graphe;2009-01-09;jour;;acte;Publication du client Bitcoin-Qt v0.1;poc;iii;bitcoin;core_devs;;depots_de_code;innovation_protocolaire;;nd;non;;;portefeuilles;ch.I l.269;III.1 Crise Bitcoin CVE 2018-17144 : d'une crise à de nombreuses autres… | III.1.1 — Présentation périodisée : une mise en crise longue et silencieuse (CVE 2018) | I.1 Quand Bitcoin définit son monde… : l'aloi politique d'une CM pionnière;;Phase de preuve de concept [DevelopmentPhase];;le texte situe le client dans le domaine portefeuilles (orange);6c92b4f54bb54499b7e2d2c0625fccf7
G095;graphe;2009-01-09;jour;;acte;Bitcoin-QT 0.1 client lourd (9 janvier 2009);poc;iii;;;;;;;nd;non;;;;graphe v97 (Chapitre I);III.1 Crise Bitcoin CVE 2018-17144 : d'une crise à de nombreuses autres… | III.1.1 — Présentation périodisée : une mise en crise longue et silencieuse (CVE 2018) | I.1 Quand Bitcoin définit son monde… : l'aloi politique d'une CM pionnière;Satoshi Nakamoto;Phase de preuve de concept [DevelopmentPhase];;Client lourd polyvalent portant tous les composants. Injonction wallet.dat critique. Seule solution disponible a l origine.;5f86375d2ffa4575b9c1b18395bb82b1
E006;catalogue+graphe;2009-01-12;jour;;acte;Premiere transaction (10 BTC - Nakamoto vers Finney);poc;i*;bitcoin;core_devs;;on_chain;adoption;;nd;non;;;acces-usage;ch.I l.265;III.1 Crise Bitcoin CVE 2018-17144 : d'une crise à de nombreuses autres… | III.1.2 — Une remise en ordre rapide (CVE 2018) | III.3.4 — « Fork You ?! » : scission surprise fondatrice et ses enseignements;Hal Finney | Satoshi Nakamoto;Phase de preuve de concept [DevelopmentPhase];;;fb0bb535e9014c58b7fb73151258f67b
E007;catalogue+graphe;2009-10-12;jour;;acte;Premier echange BTC/dollar (Malmi - NewLibertyStandard);poc;i*;bitcoin;communautes_forums;;marches_plateformes;financiarisation;;nd;non;;;marches;ch.I n.75 l.609;I.2.1 Un protocole deborde de carnavalesques improvisations d acteurs;Martti Malmi | NewLibertyStandard;Phase de preuve de concept [DevelopmentPhase];;5050 BTC pour 5.02 dollars - reglement via PayPal;66a591458af644a9a0a83a0565e02488
G159;graphe;2009-10-30;jour;;acte;SourceForge Bitcoin repo (Martti Malmi, 2009);poc;vi;;;;;;;nd;non;;;;graphe v97 (chapitre nd);III.1 Crise Bitcoin CVE 2018-17144 : d'une crise à de nombreuses autres… | III.1.2 — Une remise en ordre rapide (CVE 2018) | III.3.4 — « Fork You ?! » : scission surprise fondatrice et ses enseignements;;Phase de preuve de concept [DevelopmentPhase];;;ef4dc40dd6a242019dc88551d68bbd7a
G141;graphe;2009-12-22;jour;;acte;Article PCWorld sur Bitcoin (décembre 2009);poc;;;;;;;;nd;non;;;;graphe v97 (chapitre nd);III.1 Crise Bitcoin CVE 2018-17144 : d'une crise à de nombreuses autres… | III.1.2 — Une remise en ordre rapide (CVE 2018) | III.3.4 — « Fork You ?! » : scission surprise fondatrice et ses enseignements;;I.4 Conclusion du Chapitre I [ThesisSection];;Article de PCWorld sur Bitcoin en décembre 2009, contribuant à la première diffusion médiatique du protocole au grand public technique.;3a7d7850c35842dc9127080eb7d30db3
E008;catalogue;2010;annee;;acte;Lancement de MtGox (McCaleb);poc;i*;bitcoin;entrepreneurs_exchanges;;marches_plateformes;financiarisation;;liquidite_convertibilite(+);non;;;marches;ch.I l.269-271;;;;;profondeur de liquidite - produit un cours (texte);
E009;catalogue;2010;annee;;seuil;MtGox concentre pres de 70 pct des volumes (2010-2014);poc;i*;bitcoin;nd;;marches_plateformes;nd;;liquidite_convertibilite(+);non;;;marches;ch.I l.269;;;;;;
E010;catalogue;2010;annee;;acte;MyBitcoin - premier portefeuille custodial;poc;iii;bitcoin;entrepreneurs_exchanges;;entreprises_services;innovation_infrastructurelle;;nd;non;;;portefeuilles;ch.I n.74 l.607;;;;;;
E011;catalogue+graphe;2010;annee;;acte;Sequestre communautaire par Theymos (frais 1 pct);poc;iii*;bitcoin;communautes_forums;;listes_forums;innovation_infrastructurelle;;conf_methodique(+);non;;;portefeuilles;ch.I n.75 l.609;I.2.1 Un protocole deborde de carnavalesques improvisations d acteurs;;Phase de preuve de concept [DevelopmentPhase];;;babc9f23c57446c88626709f94707d80
G003;graphe;2010;annee;;acte;CVE-2010-5141 (Vol de clés privées);poc;;;;;;;;nd;oui;1;CVE-2010-5141;;graphe v97 (chapitre nd);III.1 Crise Bitcoin CVE 2018-17144 : d'une crise à de nombreuses autres…;;;;;0423dfbdf0904305b1d7e48c3df78ae2
G045;graphe;2010;annee;;acte;Mt. Gox;poc;i;;;;;;;nd;non;;;;graphe v97 (Chapitre I);I.2.1 Un protocole deborde de carnavalesques improvisations d acteurs;Bourses d'échange (exchanges) | Satoshi Nakamoto | Core Developers (Bitcoin) | Mark Karpelès;Phase de maturation / Phase 3 Bitcoin [Concept];;Première véritable bourse d'échange BTC/$ à grande échelle, lancée par Jed McCaleb en 2010. Concentre jusqu'à 70% des volumes d'échange BTC/$ de 2010 à 2014. Rôle décisif dans la r;6661cad88f9145a6ad28d6c30840ef00
G119;graphe;2010;annee;;acte;Dust limit (limite de poussière Bitcoin);poc;vi;;;;;;;nd;non;;;;graphe v97 (Chapitre I);III.1 Crise Bitcoin CVE 2018-17144 : d'une crise à de nombreuses autres… | III.1.1 — Présentation périodisée : une mise en crise longue et silencieuse (CVE 2018) | I.1 Quand Bitcoin définit son monde… : l'aloi politique d'une CM pionnière;;Phase de preuve de concept [DevelopmentPhase];;Règle transactionnelle ajoutée par Nakamoto : toute UTXO inférieure à 0.01 BTC envoyé nécessite 0.01 BTC de frais. Vise à prévenir les attaques par spam de petites transactions (du;eb2cb7c7f3c44cd2b8d01fe8bbad5a5a
G092;graphe;2010-02;mois;;acte;NewLibertyStandard : modele de prix par cout minage (fev.2010);poc;i;;;;;;;nd;non;;;;graphe v97 (Chapitre I);I.2.1 Un protocole deborde de carnavalesques improvisations d acteurs;NewLibertyStandard;Phase de preuve de concept [DevelopmentPhase];;Modele de valorisation des BTC deduit du cout energetique du minage, propose sur BitcoinTalk pour depasser absence de cotation.;60b665021b014f6d9803f0e227d8d076
G073;graphe;2010-02-05;jour;;acte;Proposition du ticker BTC;poc;iv;;;;;;;nd;non;;;;graphe v97 (chapitre nd);I.2.1 Un protocole deborde de carnavalesques improvisations d acteurs;;Phase de preuve de concept [DevelopmentPhase];;Adoption du symbole BTC pour désigner le bitcoin sur les marchés de change, établissant une convention de désignation universelle pour la cryptomonnaie.;4443393ff9094574a7c2adcd5fc96162
G074;graphe;2010-03-10;jour;;acte;Premier tournoi de poker en ligne utilisant BTC;poc;i;;;;;;;nd;non;;;;graphe v97 (chapitre nd);I.2.1 Un protocole deborde de carnavalesques improvisations d acteurs;;Phase de preuve de concept [DevelopmentPhase];;Premier tournoi de poker en ligne utilisant Bitcoin, démonstration précoce de l'usage de Bitcoin pour les jeux d'argent en ligne hors juridiction.;8c6f302ba7484a718a163a6747c81fa5
E012;catalogue;2010-03-17;jour;;acte;Bitcoinmarket.com - premiere bourse et premiere cotation;poc;i*;bitcoin;entrepreneurs_exchanges;;marches_plateformes;financiarisation;;valorisation(+);non;;;marches;ch.I n.75 l.609;;;;;;
G056;graphe;2010-03-17;jour;;acte;BitcoinMarket exchange launch;poc;i;;;;;;;nd;non;;;;graphe v97 (Chapitre I);III.1 Crise Bitcoin CVE 2018-17144 : d'une crise à de nombreuses autres… | III.1.1 — Présentation périodisée : une mise en crise longue et silencieuse (CVE 2018) | I.1 Quand Bitcoin définit son monde… : l'aloi politique d'une CM pionnière;;Phase de preuve de concept [DevelopmentPhase];;BitcoinMarket.com (17 mars 2010) : première bourse d'échange Bitcoin, première cotation continue BTC/$. Dépend de PayPal pour le règlement en dollar, ce qui conduit à sa fragilisat;20dac14d83a2433fae0c7392e380bf6e
G075;graphe;2010-03-17;jour;;acte;Première plateforme d’échange BTC (BitcoinMarket.com);poc;i;;;;;;;nd;non;;;;graphe v97 (chapitre nd);III.1 Crise Bitcoin CVE 2018-17144 : d'une crise à de nombreuses autres… | III.1.1 — Présentation périodisée : une mise en crise longue et silencieuse (CVE 2018) | I.1 Quand Bitcoin définit son monde… : l'aloi politique d'une CM pionnière;;Phase de preuve de concept [DevelopmentPhase];;Lancement de BitcoinMarket.com en mars 2010 par dwdollar, première plateforme permettant l'échange BTC/USD, établissant le premier cours de marché Bitcoin.;d2a8798b6f064140851367c98162f594
G076;graphe;2010-04-01;jour;;acte;Premier minage GPU;poc;;;;;;;;nd;non;;;;graphe v97 (chapitre nd);I.2.1 Un protocole deborde de carnavalesques improvisations d acteurs;;Phase de preuve de concept [DevelopmentPhase];;Transition du minage CPU vers GPU initiée par Laszlo Hanyecz en 2010, multipliant la puissance de calcul disponible par un facteur considérable.;ef24c1fb7a7040b49a2c1e0194355cf1
G077;graphe;2010-05-21;jour;;acte;Premier échange contre marchandise (pizzas);poc;i;;;;;;;nd;non;;;;graphe v97 (chapitre nd);I.2.1 Un protocole deborde de carnavalesques improvisations d acteurs;Laszlo Hanyecz;Phase de preuve de concept [DevelopmentPhase];;Première transaction commerciale Bitcoin : Laszlo Hanyecz achète deux pizzas pour 10 000 BTC le 22 mai 2010 (Bitcoin Pizza Day), premier prix en biens réels.;09d15bd8d03c4fa38ecbd33cf5862f9b
E013;catalogue;2010-05-22;jour;;acte;Premier achat de bien physique (2 pizzas - 10000 BTC);poc;i;bitcoin;communautes_forums;;marches_plateformes;adoption;;usage_paiement(+);non;;;acces-usage;ch.I n.75 l.609;;;;;via intermediaire individuel (Hanyecz);
E014;catalogue;2010-06;mois;;acte;Premier Faucet (Andresen - 50 BTC par visite);poc;i*;bitcoin;core_devs;;entreprises_services;adoption;;usage_paiement(+);non;;;acces-usage;ch.I l.269;;;;;elargir les canaux d'acces (texte);
G055;graphe;2010-06;mois;;acte;Bitcoin Faucet;poc;i;;;;;;;nd;non;;;;graphe v97 (Chapitre I, section I.2);III.1 Crise Bitcoin CVE 2018-17144 : d'une crise à de nombreuses autres… | III.1.1 — Présentation périodisée : une mise en crise longue et silencieuse (CVE 2018) | I.1 Quand Bitcoin définit son monde… : l'aloi politique d'une CM pionnière;Bourses d'échange (exchanges);Phase de preuve de concept [DevelopmentPhase];;Premier service de distribution gratuite de bitcoins créé par Gavin Andresen en 2010 pour faciliter l'adoption, offrant 5 BTC par visiteur au début.;0ec8d4683eb14f49a2b5dd37ac2c8858
G058;graphe;2010-07;mois;;acte;GPU mining emergence;poc;;;;;;;;nd;non;;;;graphe v97 (chapitre nd);I.2.1 Un protocole deborde de carnavalesques improvisations d acteurs;;Phase de preuve de concept [DevelopmentPhase];;Passage du minage CPU au GPU en 2010 (Laszlo Hanyecz), multipliant la puissance de calcul par 100 et amorçant la course aux armements du minage.;5dfe15f31a89483aae5b75e1e60fc5ef
G078;graphe;2010-07-11;jour;;acte;Première couverture média (Slashdot);poc;iv;;;;;;;nd;non;;;;graphe v97 (chapitre nd);I.2.1 Un protocole deborde de carnavalesques improvisations d acteurs;;Phase de preuve de concept [DevelopmentPhase];;Première grande couverture médiatique de Bitcoin par Slashdot le 11 juillet 2010, déclenchant un afflux massif de nouveaux utilisateurs.;1c84e58808404ab891a1ef9b0e5d6449
