source;date_iso;intitule;couleur_rgba;couleur_hex;couleur_nom;domaine_8;provenance_correspondance
Chrono_Bitcoin_institutionnalisation_V2;2008-07-18;"Nakamoto réserve le nom de domaine ""bitcoin.org""";255,150,180,247;#96b4f7;bleu fonce;iv;calibre : 3/4 sur le catalogue
Chrono_Bitcoin_institutionnalisation_V2;2008-10-31;Nakamoto publie le WP de Bitcoin, via la Cryptography Mailing List;255,150,180,247;#96b4f7;bleu fonce;iv;calibre : 3/4 sur le catalogue
Chrono_Bitcoin_institutionnalisation_V2;2008-12-10;"Nakamoto créer une liste de diffusion dédiée sur ""Source Forge""";255,150,180,247;#96b4f7;bleu fonce;iv;calibre : 3/4 sur le catalogue
Chrono_Altcoin_institutionnalisation_V0;2009-01-03;"Nakamoto produit le ""Genesis Block"" Lancement de Bitcoin";255,247,238,238;;;;
Chrono_Bitcoin_institutionnalisation_V2;2009-01-09;Publicisation de la création de Bitcoin et publication de la première version logicielle (V0.1);255,150,180,247;#96b4f7;bleu fonce;iv;calibre : 3/4 sur le catalogue
Chrono_Bitcoin_institutionnalisation_V2;2009-01-12;"Première transaction Bitcoin (Hors ""Coinbase transaction""), réalisée entre S. Nakamoto et H. Finney";255,237,166,247;#eda6f7;violet;viii;contenu : levees de fonds, vols, faucet
Chrono_Bitcoin_institutionnalisation_V2;2009-10-05;"Première échange BTC / $ et première modélisation de leur valeur via les coûts de production"", par ""New Liberty Standard""";255,188,241,158;#bcf19e;vert;i;calibre : 7/8 sur le catalogue
Chrono_Bitcoin_institutionnalisation_V2;2009-10-12;"Premier échange BTC / $, entre M. Malmy et ""NewLibertyStandard"", via Paypal";255,188,241,158;#bcf19e;vert;i;calibre : 7/8 sur le catalogue
Chrono_Altcoin_institutionnalisation_V0;2009-11-22;Création du forum Bitcointalk par S. Nakamoto;255,150,180,247;#96b4f7;bleu fonce;iv;calibre : 3/4 sur le catalogue
Chrono_Bitcoin_institutionnalisation_V2;2010-02-05;"Proposition du ticker BTC pour l'UCN bitcoin par ""NewLibertyStandard"", via ""BitcoinTalk""";255,188,241,158;#bcf19e;vert;i;calibre : 7/8 sur le catalogue
Chrono_Bitcoin_institutionnalisation_V2;2010-03-10;Premier tournois de Poker en ligne utilisant le BTC;255,188,241,158;#bcf19e;vert;i;calibre : 7/8 sur le catalogue
Chrono_Bitcoin_institutionnalisation_V2;2010-03-17;"Premier service d'échange & cotation BTC/Dollars, ""Bitcoinmarket.com"", par dwdollar";255,188,241,158;#bcf19e;vert;i;calibre : 7/8 sur le catalogue
Chrono_Bitcoin_institutionnalisation_V2;2010-04-01;Premier minage dune PoW via carte graphique (GPU), par L. Hanyecz;255,248,252,146;#f8fc92;jaune;ii;contenu : minage GPU, Slush, FPGA, ASIC
Chrono_Bitcoin_institutionnalisation_V2;2010-05-21;Premier échange BTC contre une marchandise physique (deux pizzas / 10 000 btc), par L. Hanyecz;255,188,241,158;#bcf19e;vert;i;calibre : 7/8 sur le catalogue
Chrono_Bitcoin_institutionnalisation_V2;2010-07-03;Premier Faucet Bitcoin, distribution gratuite de BTC, par G. Andresen;255,237,166,247;#eda6f7;violet;viii;contenu : levees de fonds, vols, faucet
Chrono_Bitcoin_institutionnalisation_V2;2010-07-11;"Première couverte médiatique de Bitcoin, par ""Slashdot""";255,150,180,247;#96b4f7;bleu fonce;iv;calibre : 3/4 sur le catalogue
Chrono_Altcoin_institutionnalisation_V0;2010-07-15;Première modification protocolaires par Nakamoto #deuxpoint# introduction d'une taille limite des blocs (activation au 12/09/2010);255,247,179,179;#f7b3b3;rouge;vi;calibre : 2/2 sur le catalogue
Chrono_Altcoin_institutionnalisation_V0;2010-07-18;Première bourse d'échange importante, MtGox, par J. McCaleb;255,188,241,158;#bcf19e;vert;i;calibre : 7/8 sur le catalogue
Chrono_Bitcoin_institutionnalisation_V2;2010-07-28;"Premier Soft Fork, corrigeant un bogue critique, de type ""Vol de bitcoin"")";255,247,179,179;#f7b3b3;rouge;vi;calibre : 2/2 sur le catalogue
Chrono_Bitcoin_institutionnalisation_V2;2010-07-29;Premier service de paiement par sequestre, offert par Theymos;255,248,216,136;#f8d888;orange;iii;calibre : 1/1 sur le catalogue
Chrono_Bitcoin_institutionnalisation_V2;2010-09-01;"Premier service d'anonymisation par Mixage, ""BitLaundry""";255,248,216,136;#f8d888;orange;iii;calibre : 1/1 sur le catalogue
Chrono_Bitcoin_institutionnalisation_V2;2010-10-25;"Premier portefeuille custodial en ligne, ""MyBitcoin"", par B. Wagner";255,248,216,136;#f8d888;orange;iii;calibre : 1/1 sur le catalogue
Chrono_Bitcoin_institutionnalisation_V2;2010-11-15;"Correction d'un bogue critique de type ""Inflation""";255,247,179,179;#f7b3b3;rouge;vi;calibre : 2/2 sur le catalogue
Chrono_Bitcoin_institutionnalisation_V2;2010-11-27;"Création de la première ""Pool de minage"", ""Slush Pool"" par M. Palatinus";255,248,252,146;#f8fc92;jaune;ii;contenu : minage GPU, Slush, FPGA, ASIC
Chrono_Bitcoin_institutionnalisation_V2;2010-12-10;"Publication d'un article sur Bitcoin dans ""PCWorld""";255,150,180,247;#96b4f7;bleu fonce;iv;calibre : 3/4 sur le catalogue
Chrono_Bitcoin_institutionnalisation_V2;2010-12-12;Dernier message public de S. Nakamoto;255,150,180,247;#96b4f7;bleu fonce;iv;calibre : 3/4 sur le catalogue
Chrono_Bitcoin_institutionnalisation_V2;2010-12-23;"Création du premier site d'information français, ""Bitcoin.fr""";255,150,180,247;#96b4f7;bleu fonce;iv;calibre : 3/4 sur le catalogue
Chrono_Bitcoin_institutionnalisation_V2;2011-02-01;"Première place d'échange illégale en BTC, ""SilkRoad"", par R. Ulbricht";255,188,241,158;#bcf19e;vert;i;calibre : 7/8 sur le catalogue
Chrono_Bitcoin_institutionnalisation_V2;2011-02-10;Article sur le BTC arrivé à parité avec le Dollars, par Slashdot;255,150,180,247;#96b4f7;bleu fonce;iv;calibre : 3/4 sur le catalogue
