entity_id;entity_name;entity_types;attribute_key;grc20_value_type;raw_value;normalized_iso;granularity;format_family;dmy_ambiguous;type_key_mismatch;intra_entity_conflict;description_date_hint;description_conflict;plausibility_flag;notes
00586d082e964abab5d9f45c73948400;CVE-2013-5700 — Remote p2p crash via bloom filters;CrisisEvent;date;TEXT;04/09/2013;2013;jour;DD-MM-YYYY-ou-MM-DD-YYYY;oui;oui;;;;ok;ordre jour/mois indecidable : « 04/09/2013 » se lit 2013-09-04 (JJ/MM) ou 2013-04-09 (MM/JJ) , normalized_iso s'arrete a l'annee, aucune convention n'est appliquee
007a894f83664b31b7c3a93b10c55296;Finney 2009;IndigenousLiterature|Reference;year;TEXT;2009;2009;annee;annee;;oui;;;;ok;
008274f26bfd46dcabf5589b2a1cd15f;InfrastructureEvent — Standardisation des propositions protocolaires (BIP);InfrastructureEvent;date;TEXT;2011-08-19;2011-08-19;jour;ISO-jour;;oui;;2011;non;ok;description : accord d'annee (2011 contre 2011-08-19)
008274f26bfd46dcabf5589b2a1cd15f;InfrastructureEvent — Standardisation des propositions protocolaires (BIP);InfrastructureEvent;dateAuthority;TEXT;TIMELINE_FIGURE;;indeterminee;libre;;non;;2011;;non_parsable;cle du perimetre qui ne porte PAS une date : niveau de preuve de la date (AUTHOR_VERIFIED / EXTERNAL_VERIFICATION / TIMELINE_FIGURE), pas une date | aucune annee a quatre chiffres dans la valeur | description datee mais aucune annee derivee de la valeur : comparaison impossible, rien n'est conclu
008274f26bfd46dcabf5589b2a1cd15f;InfrastructureEvent — Standardisation des propositions protocolaires (BIP);InfrastructureEvent;dateSource;TEXT;Thèse — Chronologie (figure) Chapitre I.2;;indeterminee;libre;;non;;2011;;non_parsable;cle du perimetre qui ne porte PAS une date : reference bibliographique de la date (ex. « Sedgwick 2018e »), pas une date | aucune annee a quatre chiffres dans la valeur | description datee mais aucune annee derivee de la valeur : comparaison impossible, rien n'est conclu
008659c674db4c8b91a0e6372fbf684f;Dashjr 2014a;IndigenousLiterature|Reference;year;TEXT;2014;2014;annee;annee;;oui;;;;ok;
00d8c6248c554ebe93373d571afbc833;Miles et Voorhees 2017;GreyLiterature|Reference;year;TEXT;2017;2017;annee;annee;;oui;;;;ok;
019689c1ce06489a84768c51637eb9ed;Phase de péché;DevelopmentPhase;dateRange;TEXT;01/04/2012 — 30/10/2013;;plage;libre;oui;non;;2009|2012|2013|2018;non;ok;plage a deux bornes datees : « 01/04/2012 » -> 2012 et « 30/10/2013 » -> 2013-10-30 , famille `libre` par convention de colonne (la nomenclature ne prevoit que `plage-annees`), normalized_iso reste vide, choisir une borne serait un arbitrage | au moins une borne a un ordre jour/mois indecidable — l'annee de chaque borne reste, elle, etablie | description : accord d'annee (2009|2012|2013|2018 contre 2012,2013)
01b382d629ca4147885aba6de31028b4;Sedgwick 2018b;GreyLiterature|Reference;consultedDate;TEXT;21 juillet 2020;2020-07-21;jour;libre;;non;;;;ok;date en toutes lettres (jour, mois, annee) : famille `libre` par convention de colonne, mais entierement derivable
01b382d629ca4147885aba6de31028b4;Sedgwick 2018b;GreyLiterature|Reference;date;TEXT;25 décembre 2018;2018-12-25;jour;libre;;oui;;;;ok;date en toutes lettres (jour, mois, annee) : famille `libre` par convention de colonne, mais entierement derivable | role « point » : accord d'annee avec year
