famille_id;entity_id_a;name_a;types_a;date_a;degre_a;entity_id_b;name_b;types_b;date_b;degre_b;signaux;ecart_jours;statut;preuve;decision_requise;question_pour_mael;notes
F01-BITCOINTALK;0d81bba0461d49a5af8997a20663d630;InfrastructureEvent — BitcoinTalk forum created;InfrastructureEvent;2010-11-22;24;06ac37fc6cf24af49ec79ec265159ad8;InfrastructureEvent — Nakamoto crée le forum Bitcointalk;InfrastructureEvent;2009-11-22;22;nom-proche|anniversaire-meme-jour-mois|description-identique|relations-identiques|cohortes-chronologie-jumelles;365;doublon_probable;"description de tete STRICTEMENT identique de part et d'autre : « Creation du forum bitcointalk par Nakamoto. » ; les DEUX attributs description datent le fait de « novembre 2009 » alors que 0d81bba0 porte date=2010-11-22 (contradiction interne a la fiche, meme figure que le cas Litecoin/C6) ; relations sortantes identiques (belongs to domain=Information et connaissance ; occurs in=Phase de preuve de concept) ; dateSource distincts : 'Chronologie 2 (p.88)' vs 'Chronologie (figure) Chapitre I.2'.";oui;Les deux fiches BitcoinTalk decrivent-elles bien la meme creation de forum, auquel cas date=2010-11-22 portee par 0d81bba0 est une coquille d'annee a corriger AVANT toute fusion ?;CONTREDIT doublons-verifies.csv, qui classe cette paire REJET_AUTO au motif « dates contradictoires (2010-11-22 / 2009-11-22) » : le veto date du mecanisme v97 a ecarte la paire sur l'ecart meme qui est l'indice du doublon. Le texte du meme audit (anomalie 1, point ouvert 3) qualifie pourtant la date de « coquille tres probable ». La these (ch.I l.113) ne donne aucune date au jour : elle ecrit « En janvier 2009 [...] fonde le forum Bitcointalk ». Degres reportes, aucun canonique designe (piege C5 de grc20-dedup-events-audit-v1).
F02-BITCOINMARKET;20dac14d83a2433fae0c7392e380bf6e;BitcoinMarket exchange launch;InfrastructureEvent;2010-03-17;26;d2a8798b6f064140851367c98162f594;InfrastructureEvent — Première plateforme d’échange BTC (BitcoinMarket.com);InfrastructureEvent;2010-03-17;22;nom-proche|date-identique|meme-domaine|description-recouvrante|cohortes-chronologie-jumelles;0;doublon_probable;"these ch.I note 75, l.609 : « « Bitcoinmarket.com », lance le 17 mars 2010, est la premiere bourse d'echange (Sedgwick 2018b) » — un seul acte atteste ; les deux fiches portent date=2010-03-17 ; les deux se rattachent a belongs to domain=Sphere d'usage et occurs in=Phase de preuve de concept.";oui;Faut-il ne conserver qu'une seule fiche pour le lancement de BitcoinMarket.com du 17 mars 2010 ?;DEJA CONSIGNE, non arbitre : identity-debt-fr-en-v1.csv ligne P13 (« meme evenement, meme date exacte 2010-03-17, ensembles de sections strictement identiques (20 cles) »). Non detecte comme paire par doublons-verifies.csv. Degres reportes, aucun canonique designe (piege C5 de grc20-dedup-events-audit-v1).
F03-HALVING;45cd642a1b8b411092e611c51acdb791;InfrastructureEvent — First Bitcoin halving;InfrastructureEvent;2012-11-28;24;3f908f24165e4c248f55a7f93baab9d6;First Bitcoin halving;InfrastructureEvent;2012-11;21;nom-identique-apres-normalisation|dates-emboitees|description-identique|relations-identiques|cohortes-chronologie-jumelles;0~;doublon_probable;"attribut description STRICTEMENT identique de part et d'autre : « Premier halving Bitcoin le 28 novembre 2012, reduisant la recompense miniere de 50 a 25 BTC, confirmant le calendrier d'emission prevu par le protocole. » ; dates emboitees (2012-11 contient 2012-11-28) ; memes 2 relations (belongs to domain=Conformite reglementaire ; occurs in=Phase de peche).";oui;Faut-il ne conserver qu'une seule fiche pour le premier halving du 28 novembre 2012 ?;DEJA CONSIGNE, non arbitre : doublons-verifies.csv, statut A_VERIFIER (nom 1.00, desc 1.00, 14 cibles communes). Le rattachement des deux fiches a « Conformite reglementaire » pour un halving est douteux mais identique des deux cotes — indice supplementaire de copie. Degres reportes, aucun canonique designe (piege C5 de grc20-dedup-events-audit-v1).
F04-CHYPRE;a2202dfdedd543b1a937ca4759b26b4d;Cyprus banking crisis Bitcoin spike;InfrastructureEvent;2013-03;21;db5981176f4948e29da8342ed543bc5f;InfrastructureEvent — Cyprus banking crisis (price episode);InfrastructureEvent;2013-03;3;nom-proche|date-identique|description-identique|relations-identiques|cohortes-chronologie-jumelles;0~;doublon_probable;"attribut description STRICTEMENT identique : « La crise bancaire chypriote de mars 2013 (confiscation partielle des depots) provoque un afflux d'interet pour Bitcoin comme valeur refuge hors systeme bancaire. » ; date=2013-03 des deux cotes ; memes 2 relations (belongs to domain=Sphere d'usage ; occurs in=Phase de peche).";oui;Faut-il ne conserver qu'une seule fiche pour l'episode chypriote de mars 2013 ?;DEJA CONSIGNE, non arbitre : doublons-verifies.csv, statut A_VERIFIER (dates identiques, desc 1.00). Degres reportes, aucun canonique designe (piege C5 de grc20-dedup-events-audit-v1).
F05-SOFTFORK-2010;5b8c5959b2114befb0021a2c5d416e6f;InfrastructureEvent — First soft fork (Value overflow bug fix);InfrastructureEvent;2010-07-28;4;273237e8600e4e289cd76da835a82e67;Bitcoin CVE 2010-5139 (Value Overflow);CrisisEvent;15/08/2010;29;date-differente|description-recouvrante|meme-objet-technique;18;two_distinct_events_possible;Les deux dates peuvent etre vraies simultanement : le soft fork est date 2010-07-28 par l'attribut date (dateSource = chronologie de la these), tandis que 273237e8 date au 15/08/2010 l'exploitation elle-meme (« debordement d'entier permettant la creation de 184 milliards de BTC dans le bloc 74638 »). Mais les descriptions des fiches soft fork situent leur propre correctif « en aout 2010 » — donc APRES leur propre attribut date. Publication d'une version protocolaire et correction d'une faille exploitee sont deux actes distincts.;oui;L'attribut date=2010-07-28 des fiches soft fork designe-t-il un soft fork anterieur et distinct de la correction du debordement du 15 aout 2010 (auquel cas leur description est a corriger), ou bien la date est-elle fausse et l'acte unique ?;Ni « 28 juillet 2010 », ni « 15 aout 2010 », ni « CVE-2010-5139 » n'apparaissent dans le texte de assets/MD/ : ces dates viennent des figures de chronologie et du Bitcoin Wiki, pas du corps de la these. Le texte ne peut donc pas trancher — d'ou two_distinct_events_possible et non contradiction. Degres reportes, aucun canonique designe (piege C5 de grc20-dedup-events-audit-v1).
F05-SOFTFORK-2010;714f6de9e72d4162a186c2c0e459f15f;InfrastructureEvent — Soft fork : correction bug 'Void of bitcoin';InfrastructureEvent;2010-07-28;22;273237e8600e4e289cd76da835a82e67;Bitcoin CVE 2010-5139 (Value Overflow);CrisisEvent;15/08/2010;29;date-differente|description-recouvrante|meme-objet-technique;18;two_distinct_events_possible;Les deux dates peuvent etre vraies simultanement : le soft fork est date 2010-07-28 par l'attribut date (dateSource = chronologie de la these), tandis que 273237e8 date au 15/08/2010 l'exploitation elle-meme (« debordement d'entier permettant la creation de 184 milliards de BTC dans le bloc 74638 »). Mais les descriptions des fiches soft fork situent leur propre correctif « en aout 2010 » — donc APRES leur propre attribut date. Publication d'une version protocolaire et correction d'une faille exploitee sont deux actes distincts.;oui;L'attribut date=2010-07-28 des fiches soft fork designe-t-il un soft fork anterieur et distinct de la correction du debordement du 15 aout 2010 (auquel cas leur description est a corriger), ou bien la date est-elle fausse et l'acte unique ?;Ni « 28 juillet 2010 », ni « 15 aout 2010 », ni « CVE-2010-5139 » n'apparaissent dans le texte de assets/MD/ : ces dates viennent des figures de chronologie et du Bitcoin Wiki, pas du corps de la these. Le texte ne peut donc pas trancher — d'ou two_distinct_events_possible et non contradiction. Degres reportes, aucun canonique designe (piege C5 de grc20-dedup-events-audit-v1).
F05-SOFTFORK-2010;714f6de9e72d4162a186c2c0e459f15f;InfrastructureEvent — Soft fork : correction bug 'Void of bitcoin';InfrastructureEvent;2010-07-28;22;5b8c5959b2114befb0021a2c5d416e6f;InfrastructureEvent — First soft fork (Value overflow bug fix);InfrastructureEvent;2010-07-28;4;nom-proche|date-identique|description-quasi-identique|relations-identiques|cohortes-chronologie-jumelles;0;doublon_probable;"attribut description quasi identique, au seul ajout du numero de CVE pres : « Premier soft fork correctif Bitcoin en aout 2010 pour corriger le bug d'overflow [CVE-2010-5139] ayant cree 184 milliards de BTC, coordonne par Satoshi Nakamoto en 6 heures. » ; date=2010-07-28 des deux cotes ; memes 3 relations (belongs to domain=Protocole et couche de base + Traitement des transactions ; occurs in=Phase de preuve de concept). Le libelle « Void of bitcoin » de 714f6de9 est vraisemblablement une lecture fautive de « vol de bitcoin » (cf. sa propre description de tete).";oui;Faut-il ne conserver qu'une seule fiche pour le premier soft fork correctif, et retenir « vol de bitcoin » plutot que « Void of bitcoin » comme libelle ?;DEJA CONSIGNE deux fois, non arbitre : doublons-verifies.csv A_VERIFIER (desc 0.91) et identity-debt-fr-en-v1.csv ligne P15. Le nom soude/deforme « Void of bitcoin » rappelle l'incident « Florence Dufy » : ne rien graver sans relire le texte. Degres reportes, aucun canonique designe (piege C5 de grc20-dedup-events-audit-v1).
F06-LIMITE-BLOC;4f7fd6dcbdc349a08df4b66d92cb9cdc;InfrastructureEvent — Nakamoto introduces block size limit;InfrastructureEvent;2010-07-15;4;646140677b0c4a67855bdb001f4680cf;InfrastructureEvent — Limite de taille de bloc 1 Mo (15 juillet 2010);InfrastructureEvent;2010-07-15;12;nom-proche-FR-EN|date-identique|description-recouvrante|meme-domaine;0;doublon_probable;"Les TROIS fiches portent date=2010-07-15 et decrivent le meme acte : introduction discrete par Nakamoto de la limite MAX_BLOCK_SIZE de 1 Mo, presentee comme le coeur du futur Scaling Debate. 4f7fd6dc et 69aa91b1 partagent en outre exactement les memes 3 relations (belongs to domain=Protocole et couche de base + Traitement des transactions ; occurs in=Phase de preuve de concept).";oui;Les trois fiches datees 2010-07-15 sur la limite de 1 Mo doivent-elles etre reduites a une seule ?;"Famille de 3, une ligne par paire. Les dates d'activation divergent entre fiches : « 12 septembre 2010 » (4f7fd6dc, 69aa91b1) contre « 07/09/2010 » (64614067) ; et la description de 4f7fd6dc situe l'introduction « en octobre 2010 » alors que son attribut date dit 2010-07-15 (contradiction interne). doublons-verifies.csv n'a vu que la paire 64614067/69aa91b1 (A_VERIFIER) : la troisieme fiche 4f7fd6dc lui a echappe car son nom est en anglais. Degres reportes, aucun canonique designe (piege C5 de grc20-dedup-events-audit-v1)."
F06-LIMITE-BLOC;4f7fd6dcbdc349a08df4b66d92cb9cdc;InfrastructureEvent — Nakamoto introduces block size limit;InfrastructureEvent;2010-07-15;4;69aa91b1014e4143b79c9f3547c29c6d;InfrastructureEvent — Introduction d’une limite de bloc (activée 2010-09-12);InfrastructureEvent;2010-07-15;4;nom-proche-FR-EN|date-identique|description-recouvrante|meme-domaine;0;doublon_probable;"Les TROIS fiches portent date=2010-07-15 et decrivent le meme acte : introduction discrete par Nakamoto de la limite MAX_BLOCK_SIZE de 1 Mo, presentee comme le coeur du futur Scaling Debate. 4f7fd6dc et 69aa91b1 partagent en outre exactement les memes 3 relations (belongs to domain=Protocole et couche de base + Traitement des transactions ; occurs in=Phase de preuve de concept).";oui;Les trois fiches datees 2010-07-15 sur la limite de 1 Mo doivent-elles etre reduites a une seule ?;"Famille de 3, une ligne par paire. Les dates d'activation divergent entre fiches : « 12 septembre 2010 » (4f7fd6dc, 69aa91b1) contre « 07/09/2010 » (64614067) ; et la description de 4f7fd6dc situe l'introduction « en octobre 2010 » alors que son attribut date dit 2010-07-15 (contradiction interne). doublons-verifies.csv n'a vu que la paire 64614067/69aa91b1 (A_VERIFIER) : la troisieme fiche 4f7fd6dc lui a echappe car son nom est en anglais. Degres reportes, aucun canonique designe (piege C5 de grc20-dedup-events-audit-v1)."
F06-LIMITE-BLOC;69aa91b1014e4143b79c9f3547c29c6d;InfrastructureEvent — Introduction d’une limite de bloc (activée 2010-09-12);InfrastructureEvent;2010-07-15;4;646140677b0c4a67855bdb001f4680cf;InfrastructureEvent — Limite de taille de bloc 1 Mo (15 juillet 2010);InfrastructureEvent;2010-07-15;12;nom-proche-FR-EN|date-identique|description-recouvrante|meme-domaine;0;doublon_probable;"Les TROIS fiches portent date=2010-07-15 et decrivent le meme acte : introduction discrete par Nakamoto de la limite MAX_BLOCK_SIZE de 1 Mo, presentee comme le coeur du futur Scaling Debate. 4f7fd6dc et 69aa91b1 partagent en outre exactement les memes 3 relations (belongs to domain=Protocole et couche de base + Traitement des transactions ; occurs in=Phase de preuve de concept).";oui;Les trois fiches datees 2010-07-15 sur la limite de 1 Mo doivent-elles etre reduites a une seule ?;"Famille de 3, une ligne par paire. Les dates d'activation divergent entre fiches : « 12 septembre 2010 » (4f7fd6dc, 69aa91b1) contre « 07/09/2010 » (64614067) ; et la description de 4f7fd6dc situe l'introduction « en octobre 2010 » alors que son attribut date dit 2010-07-15 (contradiction interne). doublons-verifies.csv n'a vu que la paire 64614067/69aa91b1 (A_VERIFIER) : la troisieme fiche 4f7fd6dc lui a echappe car son nom est en anglais. Degres reportes, aucun canonique designe (piege C5 de grc20-dedup-events-audit-v1)."
