volet,entity_id,entity_name,entity_types,cle_date,valeur_date,a_dateSource,valeur_dateSource,a_dateAuthority,valeur_dateAuthority,a_url,qualite_source,relations_probatoires,entree_biblio_appariee,annee_biblio,statut,decision_requise,question_pour_mael,notes,regime_de_preuve,confirme_par_these,motif_regime
1_dates_evenements,4e1a794249594b368e13e558174dea38,Attaque DDoS MtGox (mai 2013),CrisisEvent,date,Mai 2013,non,,non,,non,aucune,source of[inverse]→47e012e3a2e9497b9441929a2cedf35e (Sedgwick 2020a),,,adosse_faible,non,,seul repère textuel : chapter=Chapitre I — trop large pour adosser une date,infere,non,"aucune confirmation par la these, aucune source primaire, granularite fine — origine de la date non etablie"
1_dates_evenements,c4eab4f4b3f54162b2404b3da684b840,Attaque de The DAO,CrisisEvent,date,17/06/2016,non,,non,,non,aucune,cites→156444b8fffe4cab99b2aefdbb7edd7c (Entretien n°11)|cites→c5d82d5b8e38402a94728be1c08e9b47 (Entretien n°22)|cites→e6e850b7b08d425cb99d3571fb995458 (Entretien n°26)|cites→f8deca339df74733b7fbba18a90de6f0 (Entretien n°9)|quote supports[inverse]→3108c405412744959c92ecc3dfe06879 (Quote — Moratorium : hypothèse d’un hard fork avec rollback)|quote supports[inverse]→3749fa6aa1aa4d1a8cb92fd638390cdf (Quote — The DAO : analyse des incitations (pas le code))|quote supports[inverse]→37716e6be62a41668b1119bb829ae6ad (Quote — The DAO : « pot de miel » (attention des attaquants))|quote supports[inverse]→397b81c157a94dad81db77ac1db2e84d (Quote — The DAO : billet de blog du 26 mai (Sirer/Mark/Zamfir))|quote supports[inverse]→4e63527d17ca40de953dfb95fd88eee0 (Quote — vulnérabilité -> évolution (The DAO))|quote supports[inverse]→5d36cfc3bda94e5ca53f304447a02b2c (Quote — attaque : « attaques par imitation »)|quote supports[inverse]→bf5be34e9f364deaa71d1ec56ea5f800 (Quote — attaque donne le tempo de la remise en ordre)|quote supports[inverse]→ddaa3ebd96354c21a6a155cf3bc28139 (Quote — attaque : facilité de reproduction),,,adosse_faible,non,,"adossement au niveau de la fiche seulement (sourcePage=33, sourcePages=33, 50, 127, 130, 221, 223, 287, 288, 289, 290, 298, 306, 327, 329, 330, 334) : localise l'entité dans la thèse, pas sa date",these_verbatim,oui,"confirme mot pour mot par le texte de la these — source PROVISOIRE : la these est ici juge et partie, et le chantier a montre qu elle se contredit parfois elle-meme"
1_dates_evenements,eeece02d7bd2411f94b4cffa2d816367,BIP-0034 — Mandatory block protocol update (Height in coinbase),CrisisEvent,date,24/03/2013,non,,non,,non,aucune,,,,non_adosse,oui,"La date « 24/03/2013 » de « BIP-0034 — Mandatory block protocol update (Height in coinbase) » peut-elle être rattachée à une source nommée (chronologie de la thèse avec page, référence, ou URL) ? oui/non",aucune relation vers une Reference/PrimarySource/GreyLiterature/IndigenousLiterature/SourceQuote,infere,non,"aucune confirmation par la these, aucune source primaire, granularite fine — origine de la date non etablie"
1_dates_evenements,3952cb540d924df7a70f267da5d5009b,BIP-0042 — Bitcoin Fixed Monetary Supply (Inflation Bug),CrisisEvent,date,01/04/2014,non,,non,,oui,aucune,,,,adosse_faible,non,,aucune relation vers une Reference/PrimarySource/GreyLiterature/IndigenousLiterature/SourceQuote,these_verbatim,oui,"confirme mot pour mot par le texte de la these — source PROVISOIRE : la these est ici juge et partie, et le chantier a montre qu elle se contredit parfois elle-meme"
1_dates_evenements,f979ff6cc3cd4861b1de30ec72463c7c,BIP-148 — Soft fork: SegWit UASF,CrisisEvent,date,12/03/2017,non,,non,,non,aucune,,,,non_adosse,oui,"La date « 12/03/2017 » de « BIP-148 — Soft fork: SegWit UASF » peut-elle être rattachée à une source nommée (chronologie de la thèse avec page, référence, ou URL) ? oui/non",aucune relation vers une Reference/PrimarySource/GreyLiterature/IndigenousLiterature/SourceQuote,infere,non,"aucune confirmation par la these, aucune source primaire, granularite fine — origine de la date non etablie"
1_dates_evenements,6daefcd122a24b3589c41fcddd3732aa,BIP-65 — Soft fork: OP_CHECKLOCKTIMEVERIFY,CrisisEvent,date,12/11/2015,non,,non,,non,aucune,,,,non_adosse,oui,"La date « 12/11/2015 » de « BIP-65 — Soft fork: OP_CHECKLOCKTIMEVERIFY » peut-elle être rattachée à une source nommée (chronologie de la thèse avec page, référence, ou URL) ? oui/non",aucune relation vers une Reference/PrimarySource/GreyLiterature/IndigenousLiterature/SourceQuote,infere,non,"aucune confirmation par la these, aucune source primaire, granularite fine — origine de la date non etablie"
1_dates_evenements,d1961d60a3fc43bb996bf52e14c24193,BIP-66 — Strict DER signatures — Fake Conf & Chain Split,CrisisEvent,date,04/07/2015,non,,non,,non,aucune,,,,non_adosse,oui,"La date « 04/07/2015 » de « BIP-66 — Strict DER signatures — Fake Conf & Chain Split » peut-elle être rattachée à une source nommée (chronologie de la thèse avec page, référence, ou URL) ? oui/non",aucune relation vers une Reference/PrimarySource/GreyLiterature/IndigenousLiterature/SourceQuote,infere,non,"aucune confirmation par la these, aucune source primaire, granularite fine — origine de la date non etablie"
1_dates_evenements,d25e5ffe06df4701bfc3755bdc9d1b31,"BIPs 141, 143 & 147 — Soft fork: SegWit",CrisisEvent,date,27/10/2016,non,,non,,non,aucune,,,,non_adosse,oui,"La date « 27/10/2016 » de « BIPs 141, 143 & 147 — Soft fork: SegWit » peut-elle être rattachée à une source nommée (chronologie de la thèse avec page, référence, ou URL) ? oui/non",aucune relation vers une Reference/PrimarySource/GreyLiterature/IndigenousLiterature/SourceQuote,infere,non,"aucune confirmation par la these, aucune source primaire, granularite fine — origine de la date non etablie"
1_dates_evenements,1aa79f912b8c4aadb5bde9c7435b32d0,"BIPs 68, 112 & 113 — Soft forks: Rel locktime, CSV & MTP locktime",CrisisEvent,date,11/04/2016,non,,non,,non,aucune,,,,non_adosse,oui,"La date « 11/04/2016 » de « BIPs 68, 112 & 113 — Soft forks: Rel locktime, CSV & MTP locktime » peut-elle être rattachée à une source nommée (chronologie de la thèse avec page, référence, ou URL) ? oui/non",aucune relation vers une Reference/PrimarySource/GreyLiterature/IndigenousLiterature/SourceQuote,infere,non,"aucune confirmation par la these, aucune source primaire, granularite fine — origine de la date non etablie"
1_dates_evenements,273237e8600e4e289cd76da835a82e67,Bitcoin CVE 2010-5139 (Value Overflow),CrisisEvent,date,15/08/2010,non,,non,,non,aucune,,,,non_adosse,oui,"La date « 15/08/2010 » de « Bitcoin CVE 2010-5139 (Value Overflow) » peut-elle être rattachée à une source nommée (chronologie de la thèse avec page, référence, ou URL) ? oui/non",aucune relation vers une Reference/PrimarySource/GreyLiterature/IndigenousLiterature/SourceQuote,these_verbatim,oui,"confirme mot pour mot par le texte de la these — source PROVISOIRE : la these est ici juge et partie, et le chantier a montre qu elle se contredit parfois elle-meme"
