statut;score_nom;raison;motifs;canonique;canonique_id;date_can;doublon;doublon_id;date_dup
FUSION_SURE;1.0;nom 1.00, structure 0.67, desc 1.00;"meme type ; une date absente ; identifiants compatibles ; 2 cible(s) commune(s) ; chevauchement de description";InfrastructureEvent — Mining pools (coopératives de minage);15864ab2cdcd41348eecc0daba8eb11d;;Mining pools;ee7277478ddc4c0886e8d73a4e2ce00d;
FUSION_SURE;0.67;nom 0.67, structure 0.10, desc 0.00;"meme type ; une date absente ; identifiants compatibles ; 2 cible(s) commune(s) ; description absente";Bitcoin Scaling Debate;e3742113c4674c52930e54ff203f0ac6;2015;Scaling Debate;22c507bdaa874229b5a4a145e23d123c;
FUSION_SURE;0.67;nom 0.67, structure 0.67, desc 1.00;"meme type ; une date absente ; identifiants compatibles ; 2 cible(s) commune(s) ; chevauchement de description";Mining pools emergence;7f80094676fd44a785c6483dbee4f8c5;2011-01;Mining pools;ee7277478ddc4c0886e8d73a4e2ce00d;
FUSION_SURE;0.67;nom 0.67, structure 0.50, desc 1.00;"meme type ; une date absente ; identifiants compatibles ; 2 cible(s) commune(s) ; chevauchement de description";InfrastructureEvent — Mining pools (coopératives de minage);15864ab2cdcd41348eecc0daba8eb11d;;Mining pools emergence;7f80094676fd44a785c6483dbee4f8c5;2011-01
A_VERIFIER;1.0;nom 1.00, structure 0.45, desc 1.00;"meme type ; precisions emboitees ; identifiants compatibles ; 14 cible(s) commune(s) ; chevauchement de description";InfrastructureEvent — First Bitcoin halving;45cd642a1b8b411092e611c51acdb791;2012-11-28;First Bitcoin halving;3f908f24165e4c248f55a7f93baab9d6;2012-11
A_VERIFIER;0.6;nom 0.60, structure 0.09, desc 1.00;"meme type ; dates identiques ; identifiants compatibles ; 2 cible(s) commune(s) ; chevauchement de description";InfrastructureEvent — Cyprus banking crisis (price episode);db5981176f4948e29da8342ed543bc5f;2013-03;Cyprus banking crisis Bitcoin spike;a2202dfdedd543b1a937ca4759b26b4d;2013-03
A_VERIFIER;0.57;nom 0.57, structure 0.44, desc 0.00;"meme type ; dates identiques ; identifiants compatibles ; 14 cible(s) commune(s) ; description absente";InfrastructureEvent — Nakamoto réserve le nom de domaine bitcoin.org;92481a368bd24325a8990decb62e666b;2008-07-18;InfrastructureEvent — Dépôt du nom de domaine bitcoin.org;8c6539857956431cb3e82ac1e0548a55;2008-07-18
A_VERIFIER;0.5;nom 0.50, structure 0.50, desc 0.09;"meme type ; dates identiques ; identifiants compatibles ; 3 cible(s) commune(s) ; chevauchement de description";InfrastructureEvent — Parite BTC/$ (1$, debut 2011);a02861544b794d229d08dc36c935fc77;2011-02;InfrastructureEvent — Slashdot article parite BTC/$ (fevrier 2011);33f6747a334543fcae909b2aaf0f04cd;2011-02
A_VERIFIER;0.33;nom 0.33, structure 0.50, desc 0.03;"meme type ; une date absente ; identifiants compatibles ; 2 cible(s) commune(s) ; chevauchement de description";InfrastructureEvent — Dark Wallet (2014);28ed228eed8c48fab1e63d381096e357;2014;Multisig wallet;4d131ce65c0e4ed4ac4da539f21979a2;
A_VERIFIER;0.33;nom 0.33, structure 0.44, desc 0.00;"meme type ; une date absente ; identifiants compatibles ; 14 cible(s) commune(s) ; chevauchement de description";InfrastructureEvent — Bitcoin Faucet;0ec8d4683eb14f49a2b5dd37ac2c8858;2010-06;InfrastructureEvent — Bitcoin-Qt (client lourd);4ece5d2077c14b558480a3a80a7a550f;
A_VERIFIER;0.33;nom 0.33, structure 0.45, desc 0.04;"meme type ; une date absente ; identifiants compatibles ; 15 cible(s) commune(s) ; chevauchement de description";InfrastructureEvent — Bitcoin-QT 0.1 client lourd (9 janvier 2009);5f86375d2ffa4575b9c1b18395bb82b1;2009-01-09;InfrastructureEvent — Bitcoin-Qt (client lourd);4ece5d2077c14b558480a3a80a7a550f;
