id_entite;nom;date;precision;type;decision;motif
3198fc1ff3d748b78f220b5699264a44;InfrastructureEvent — Chine interdit les institutions d'utiliser Bitcoin (décembre 2013);2013-12-05;jour;InfrastructureEvent;CABLER;
09746caaab9347219a82b622960f3b49;InfrastructureEvent — Incident Ghash.io : dépassement 51% (janvier 2014);2014-01;mois;InfrastructureEvent;CABLER;
f5161f664dbd43929b59d560548ddd87;InfrastructureEvent — Lancement Darkcoin / Dash (2014);2014-01-18;jour;InfrastructureEvent;CABLER;
3952cb540d924df7a70f267da5d5009b;BIP-0042 — Bitcoin Fixed Monetary Supply (Inflation Bug);2014-04-01;jour;CrisisEvent;CABLER;
fcddab6ea50c4380a94c2d5dc8b00480;InfrastructureEvent — BitGo lève 12 millions $ (portefeuille multi-sig, 2014);2014-05-13;jour;InfrastructureEvent;CABLER;
ca278d213d804294a2c5a672d52808e4;CVE-2014-0160 — Remote memory leak via payment protocol (Heartbleed);2014-07-04;jour;CrisisEvent;CABLER;
d7fdcd25ac024e799bbaa6c9bda0a607;InfrastructureEvent — France rapport TraFin et régime fiscal du Bitcoin (2014);2014-07-11;jour;InfrastructureEvent;CABLER;
3dd742f499c64c5ba60e874c0435e859;InfrastructureEvent — eBay / PayPal intègre Bitcoin (2014-2015);2014-09-08;jour;InfrastructureEvent;CABLER;
544943d3d87a4c898c5e706622b2df97;InfrastructureEvent — France audition Commission des Finances sur les cryptomonnaies (2015);2014-11-07;jour;InfrastructureEvent;CABLER;
d02f0c0a011a4ca09cf826f684f10222;InfrastructureEvent — ASIC Antminer S5 (1 TH/s) par Bitmain (2014);2014-12-01;jour;InfrastructureEvent;CABLER;
e3742113c4674c52930e54ff203f0ac6;Bitcoin Scaling Debate;2015;annee_deduite;CrisisEvent;CABLER;
5062acdef7964498a764823149c32127;CVE-2015-3641 — OOM via p2p — Unspecified yet;2015-06-27;jour;CrisisEvent;CABLER;
d1961d60a3fc43bb996bf52e14c24193;BIP-66 — Strict DER signatures — Fake Conf & Chain Split;2015-07-04;jour;CrisisEvent;CABLER;
3c3d4fec977c4e788b850a0ea5cbebfa;InfrastructureEvent — Lancement d'Ethereum (Frontier, 30 juillet 2015);2015-07-30;jour;InfrastructureEvent;CABLER;
170ed4f7fcfb4531b7c872cb84cc8f80;CVE-2015-6031 — MiniUPnPc buffer overflow (LAN);2015-09-15;jour;CrisisEvent;CABLER;
6daefcd122a24b3589c41fcddd3732aa;BIP-65 — Soft fork: OP_CHECKLOCKTIMEVERIFY;2015-11-12;jour;CrisisEvent;CABLER;
