section_key;policy;top12_size;survivors_vs_legacy;new_entrants;measured_candidates;pinned;aggregated_from
I.1;diagnostic-only;12;12;0;60;3;3
I.1;direct-count;12;7;5;60;3;3
I.1;hybrid-cautious;12;11;1;60;3;3
I.1;legacy;12;12;0;60;3;3
I.1;verified-first;12;11;1;60;3;3
I.1.1;diagnostic-only;12;12;0;28;0;0
I.1.1;direct-count;12;4;8;28;0;0
I.1.1;hybrid-cautious;12;4;8;28;0;0
I.1.1;legacy;12;12;0;28;0;0
I.1.1;verified-first;12;9;3;28;0;0
I.1.2;diagnostic-only;12;12;0;21;0;0
I.1.2;direct-count;12;7;5;21;0;0
I.1.2;hybrid-cautious;12;7;5;21;0;0
I.1.2;legacy;12;12;0;21;0;0
I.1.2;verified-first;12;8;4;21;0;0
I.1.3;diagnostic-only;12;12;0;15;0;0
I.1.3;direct-count;12;8;4;15;0;0
I.1.3;hybrid-cautious;12;10;2;15;0;0
I.1.3;legacy;12;12;0;15;0;0
I.1.3;verified-first;12;10;2;15;0;0
I.2;diagnostic-only;12;12;0;133;0;2
I.2;direct-count;12;6;6;133;0;2
I.2;hybrid-cautious;12;7;5;133;0;2
I.2;legacy;12;12;0;133;0;2
I.2;verified-first;12;8;4;133;0;2
I.2.1;diagnostic-only;12;12;0;69;0;0
I.2.1;direct-count;12;9;3;69;0;0
I.2.1;hybrid-cautious;12;9;3;69;0;0
I.2.1;legacy;12;12;0;69;0;0
I.2.1;verified-first;12;10;2;69;0;0
I.2.2;diagnostic-only;12;12;0;50;0;0
I.2.2;direct-count;12;4;8;50;0;0
I.2.2;hybrid-cautious;12;5;7;50;0;0
I.2.2;legacy;12;12;0;50;0;0
I.2.2;verified-first;12;5;7;50;0;0
I.3;diagnostic-only;12;12;0;109;0;3
I.3;direct-count;12;4;8;109;0;3
I.3;hybrid-cautious;12;4;8;109;0;3
I.3;legacy;12;12;0;109;0;3
I.3;verified-first;12;11;1;109;0;3
I.3.1;diagnostic-only;12;12;0;55;0;0
I.3.1;direct-count;12;6;6;55;0;0
