chemin;famille;source_graph_declare;cible;nb_ops;types_ops;ops_lisibles;ops_deja_realisees;ops_cibles_absentes;statut;preuve;prochain_geste
new_relations_patch.json;indetermine;;;11884;ADD_RELATION=11884;11884;6246;0;indetermine;6246/11884 op(s) realisees : etat MIXTE, ni applique ni intact — le patch a pu etre partiellement absorbe [conteneurs ops[11884]];instruire op par op avant toute reprise
patch_10_dedup_events.json;doublons-evenements;grc20-these-mael-rolland-v97.json;;9;SET_ATTRIBUTE=9;9;9;0;already_applied;9/9 op(s) lisibles ont deja leur effet dans grc20-these-mael-rolland-v113.json [conteneurs ops[9]];ne pas rejouer
patch_11_add_missing_chronology_events.json;chronologie-historique;grc20-these-mael-rolland-v97.json;grc20-these-mael-rolland-v98.json;31;ADD_RELATION(implicite)=25 | CREATE_ENTITY(implicite)=6;31;27;0;indetermine;27/31 op(s) realisees : etat MIXTE, ni applique ni intact — le patch a pu etre partiellement absorbe [conteneurs new_relations[25]+new_entities[6]];instruire op par op avant toute reprise
patch_12_wire_maturation_phase.json;chronologie-historique;grc20-these-mael-rolland-v98.json;grc20-these-mael-rolland-v99.json;37;ADD_RELATION(implicite)=37;37;37;0;already_applied;37/37 op(s) lisibles ont deja leur effet dans grc20-these-mael-rolland-v113.json [conteneurs new_relations[37]];ne pas rejouer
patch_13_section_migration.json;sections;grc20-these-mael-rolland-v99.json;;22;SET_ATTRIBUTE=12 | SET_NAME=10;22;22;0;already_applied;22/22 op(s) lisibles ont deja leur effet dans grc20-these-mael-rolland-v113.json [conteneurs ops[22]];ne pas rejouer
patch_14_section_creation.json;sections;grc20-these-mael-rolland-v99.json;;21;(sans type)=6 | ADD_RELATION(implicite)=12 | CREATE_ENTITY(implicite)=3;15;15;0;already_applied;15/15 op(s) lisibles ont deja leur effet dans grc20-these-mael-rolland-v113.json [conteneurs new_relations[12]+new_entities[3]+rewire_relations[6]];ne pas rejouer
patch_15_section_migration_corps.json;sections;grc20-these-mael-rolland-v105.json;;46;SET_ATTRIBUTE=26 | SET_NAME=20;46;46;0;already_applied;46/46 op(s) lisibles ont deja leur effet dans grc20-these-mael-rolland-v113.json [conteneurs ops[46]];ne pas rejouer
patch_16_section_creation_corps.json;sections;grc20-these-mael-rolland-v105.json;;77;(sans type)=22 | ADD_RELATION(implicite)=44 | CREATE_ENTITY(implicite)=11;55;55;0;already_applied;55/55 op(s) lisibles ont deja leur effet dans grc20-these-mael-rolland-v113.json [conteneurs new_relations[44]+new_entities[11]+rewire_relations[22]];ne pas rejouer
patch_17_wire_chapter_I_tree.json;sections;grc20-these-mael-rolland-v106.json;;16;ADD_RELATION(implicite)=16;16;16;0;already_applied;16/16 op(s) lisibles ont deja leur effet dans grc20-these-mael-rolland-v113.json [conteneurs new_relations[16]];ne pas rejouer
patch_18_bibliography_fixes.json;bibliographie-historique;grc20-these-mael-rolland-v109.json;;22;SET_NAME=1 | SET_TYPES=21;22;22;0;already_applied;22/22 op(s) lisibles ont deja leur effet dans grc20-these-mael-rolland-v113.json [conteneurs ops[22]];ne pas rejouer
patch_19_attribute_normalisation.json;normalisation-attributs;grc20-these-mael-rolland-v109.json;;384;DELETE_ATTRIBUTE=26 | SET_ATTRIBUTE=358;384;384;0;already_applied;384/384 op(s) lisibles ont deja leur effet dans grc20-these-mael-rolland-v113.json [conteneurs ops[384]];ne pas rejouer
patch_1a_fix_cited_in.json;ancrage-historique;grc20-these-mael-rolland-v72.json;;44;ADD_RELATION=22 | REMOVE_RELATION=22;44;44;0;already_applied;44/44 op(s) lisibles ont deja leur effet dans grc20-these-mael-rolland-v113.json [conteneurs operations[44]];ne pas rejouer
patch_1b_missing_cited_in.json;ancrage-historique;grc20-these-mael-rolland-v72.json;;774;ADD_RELATION=774;774;770;0;indetermine;770/774 op(s) realisees : etat MIXTE, ni applique ni intact — le patch a pu etre partiellement absorbe [conteneurs operations[774]];instruire op par op avant toute reprise
patch_2a_sourcequote_subsections.json;sourcequote-historique;v73;;207;ADD_RELATION=207;207;207;0;already_applied;207/207 op(s) lisibles ont deja leur effet dans grc20-these-mael-rolland-v113.json [conteneurs operations[207]];ne pas rejouer
patch_2b_central_arguments.json;arguments;;;56;SET_ATTRIBUTE=56;49;49;7;already_applied;49/49 op(s) lisibles ont deja leur effet dans grc20-these-mael-rolland-v113.json [conteneurs operations[56]];ne pas rejouer
patch_2c_definitions.json;definitions;;;293;SET_ATTRIBUTE=293;274;248;19;indetermine;248/274 op(s) realisees : etat MIXTE, ni applique ni intact — le patch a pu etre partiellement absorbe [conteneurs ops[293]];instruire op par op avant toute reprise
patch_3a_intro_subsections.json;sections-historique;v82→v83;;71;(sans type)=5 | ADD_RELATION(implicite)=44 | CREATE_ENTITY(implicite)=22;66;66;0;already_applied;66/66 op(s) lisibles ont deja leur effet dans grc20-these-mael-rolland-v113.json [conteneurs new_relations[44]+new_entities[22]+update_entities[5]];ne pas rejouer
patch_4_intro_key_entities.json;ancrage-historique;;;111;ADD_RELATION(implicite)=111;111;105;0;indetermine;105/111 op(s) realisees : etat MIXTE, ni applique ni intact — le patch a pu etre partiellement absorbe [conteneurs new_relations[111]];instruire op par op avant toute reprise
patch_4a_chapter_attribution.json;ancrage-historique;;;99;ADD_RELATION(implicite)=99;99;99;0;already_applied;99/99 op(s) lisibles ont deja leur effet dans grc20-these-mael-rolland-v113.json [conteneurs relations[99]];ne pas rejouer
patch_5_missing_sections.json;ancrage-historique;;;147;ADD_RELATION(implicite)=147;147;141;0;indetermine;141/147 op(s) realisees : etat MIXTE, ni applique ni intact — le patch a pu etre partiellement absorbe [conteneurs new_relations[147]];instruire op par op avant toute reprise
patch_5a_corrective_anchoring.json;ancrage-historique;;;62;ADD_RELATION(implicite)=62;62;62;0;already_applied;62/62 op(s) lisibles ont deja leur effet dans grc20-these-mael-rolland-v113.json [conteneurs relations[62]];ne pas rejouer
patch_batch1_anchoring.json;ancrage-historique;;;21;ADD_RELATION(implicite)=21;21;21;0;already_applied;21/21 op(s) lisibles ont deja leur effet dans grc20-these-mael-rolland-v113.json [conteneurs relations[21]];ne pas rejouer
patch_batch2_anchoring.json;ancrage-historique;;;16;ADD_RELATION(implicite)=16;16;16;0;already_applied;16/16 op(s) lisibles ont deja leur effet dans grc20-these-mael-rolland-v113.json [conteneurs relations[16]];ne pas rejouer
patch_batch3_relations.json;ancrage-historique;;;51;ADD_RELATION(implicite)=51;51;51;0;already_applied;51/51 op(s) lisibles ont deja leur effet dans grc20-these-mael-rolland-v113.json [conteneurs relations[51]];ne pas rejouer
