decision;cle_actuelle;cle_cible;contenu;types;id;nom_graphe;motif
RENUMEROTER;II.3.3;II.3.2;203;ThesisSection;7b3312fed875cffb74320f0a579763c7;II.3.3 — Les CM réactivent un débat monétaire ancien : conflit autour de la « bonne » gouvernance;libelle apparie au titre l.331 (niveau 2)
RENUMEROTER;III.2.3;III.2.1;168;ThesisSection;da7e8dda9cacdb8cddfbab73bb6ecd0b;III.2.3 — Des acteurs au cœur de la gouvernance sur le protocole : gouvernance de huis clos;libelle apparie au titre l.261 (niveau 2)
ARBITRER;I.4;;280;ThesisSection;3268b571c4ce4389bf99a35c93ed287b;I.4 Conclusion du Chapitre I;aucun titre correspondant, mais 280 entites attachees
ARBITRER;II.1.1;;411;ThesisSection;f07c8415a468b6c900bd14b3cefa24fb;II.1.1 — Critiques instrumentales fondées sur les fonctions monétaires canoniques;aucun titre correspondant, mais 411 entites attachees
ARBITRER;II.1.2;;405;ThesisSection;eda05ae2f601e62bf53294a2be373d2a;II.1.2 — La monnaie « créature de l'État » : critiques nominalistes et chartalistes;aucun titre correspondant, mais 405 entites attachees
ARBITRER;II.2.3;;465;ThesisSection;0b521ac19a2f5ee0cdd07d7460ebdfd0;II.2.3 — La monnaie à l'épreuve : dettes, confiance et souveraineté;aucun titre correspondant, mais 465 entites attachees
ARBITRER;II.4;;225;ThesisSection;53461143c45d4413af3d6be003a34f27;II.4 Conclusion du Chapitre II;libelle appariable a 2 titres : l.453, l.449
ARBITRER;III.3.4;;145;ThesisSection;83985da6c275abd60faf4dbe9f08f332;III.3.4 — « Fork You ?! » : scission surprise fondatrice et ses enseignements;aucun titre correspondant, mais 145 entites attachees
ARBITRER;III.4;;248;ThesisSection;486a5848fb304465a19d3a28bafcb603;III.4 Conclusion du Chapitre III;libelle appariable a 3 titres : l.453, l.449, l.751
ARBITRER;conclu_boucs;;356;ThesisSection;d9f534f9f849a3c54eac31746ed11222;Conclusion — Les CM : boucs émissaires d'un système monétaire en crise ?;aucun titre correspondant, mais 356 entites attachees
ARBITRER;conclu_theo_mon;;438;ThesisSection;b5386fe92a5b4cac94888ffc298469bf;B. Les CM, comme “en plus” dans la théorie monétaire et l’analyse des systèmes monétaires;aucun titre correspondant, mais 438 entites attachees
ARBITRER;conclu_traduction;;341;ThesisSection;11fe6aacd1c440bdb795f073d9572b34;C. Le travail de traduction : prolongements pour les acteurs;aucun titre correspondant, mais 341 entites attachees
ARBITRER;intro_A;;543;ThesisSection;0fcc7028560c47cc9b82309f469b700c;A. La gouvernance des cryptomonnaies : construction de notre objet de recherche;aucun titre correspondant, mais 543 entites attachees
ARBITRER;intro_E;;260;ThesisSection;280a842a11bd4101b743f6527821c04e;E. Déclaration d'intérêts;aucun titre correspondant, mais 260 entites attachees
RETROGRADER;;;0;ThesisSection;3ce505bcd3e74def8b78094b4cc06b6e;I.2.1b Un protocole Bitcoin qui s'adapte : des régulations transactionnelles très politiques;libelle apparie a un titre de niveau 3 (l.321) — sous le niveau canonique
RETROGRADER;I.1.1.a;;353;ThesisSection;4ec3224a44f06315d26d3cac111e5efc;I.1.1.a Une monnaie frappée au coin de philosophies politiques et d'expériences pratiques;libelle apparie a un titre de niveau 3 (l.111) — sous le niveau canonique
RETROGRADER;I.1.1.b;;39;ThesisSection;439782308b5dedb9c5da7022bc2b82ef;I.1.1.b Une création hétérodoxe, entre recherche académique et recherche appliquée;libelle apparie a un titre de niveau 3 (l.125) — sous le niveau canonique
RETROGRADER;I.2.2.b;;177;ThesisSection;97eb62676b0052c4ab3652fc2bd15535;I.2.2.b Un protocole Bitcoin qui s'adapte : des régulations transactionnelles très politiques;libelle apparie a un titre de niveau 3 (l.321) — sous le niveau canonique
RETROGRADER;II.2.1;;318;ThesisSection;f8a8acbfa05a53c07498346df21f6808;II.2.1 — Au-delà de la monnaie, l'argent : questionner la monétisation à l'aune des usages;libelle apparie a un titre de niveau 3 (l.221) — sous le niveau canonique
RETROGRADER;II.2.2;;306;ThesisSection;f34ad8e32d22d905708d07fc6f0e8150;II.2.2 — La monnaie comme système de paiement : monétisation et liquidité de dettes hétérogènes;libelle apparie a un titre de niveau 3 (l.229) — sous le niveau canonique
RETROGRADER;II.3.1;;27;ThesisSection;515088f012136277d7375fa65d7a3e3f;II.3.1 — Du concept de gouvernance et de sa polysémie : un concept normatif;libelle apparie a un titre de niveau 3 (l.313) — sous le niveau canonique
RETROGRADER;II.3.2;;66;ThesisSection;d93cb2ceee6dea674fecc4f44d113643;II.3.2 — Retournement positif du concept : réintégrer le pouvoir et la politique;libelle apparie a un titre de niveau 3 (l.319) — sous le niveau canonique
RETROGRADER;III.1.1;;356;ThesisSection;ac859fd14006e379e55373d31090b6c6;III.1.1 — Présentation périodisée : une mise en crise longue et silencieuse (CVE 2018);libelle apparie a un titre de niveau 3 (l.53) — sous le niveau canonique
