section_key;entity_id;nom_actuel;type;page_start_actuel;page_imprimee_verifiee;ecart;statut;source_preuve;parent;page_start_parent;concernee_sourcequote;note
I.1;179eaeedc85c47a09b7a4ada23fc825b;I.1 Quand Bitcoin définit son monde… : l'aloi politique d'une CM pionnière;ThesisSection;;55;;absent;5_Chapitre_1.pdf p.55;Chapitre I - L'émergence du phénomène des cryptomonnaies (CM) : Bitcoin et Ethereum comme infrastructures sociotechniques;;non;table des matieres imprimee : accord (p.55)
I.1.1;3b652bdef05925924c4683ae384a70d2;I.1.1 Du terreau matériel et idéel aux racines de Bitcoin;ThesisSection;58;58;0;correct;5_Chapitre_1.pdf p.58;I.1;;non;parente legitimement anterieure : page_start 58 precede son premier enfant I.1.1.a (p.59) — ce n'est PAS une anomalie | table des matieres imprimee : accord (p.58)
I.1.1.a;4ec3224a44f06315d26d3cac111e5efc;I.1.1.a Une monnaie frappée au coin de philosophies politiques et d'expériences pratiques;ThesisSection;58;59;-1;incoherent;5_Chapitre_1.pdf p.59;I.1.1;58;non;sequelle de renumerotation v100-v106 (la cle a change de sens) — PROUVE : ce noeud portait la cle « I.1.1 » dans grc20-these-mael-rolland-v96.json, et son page_start 58 est exactement la page imprimee de « I.1.1 » , la valeur a suivi le noeud, pas la section — la page de « I.1.1.a » est p.59 | table des matieres imprimee : accord (p.59)
I.1.1.b;439782308b5dedb9c5da7022bc2b82ef;I.1.1.b Une création hétérodoxe, entre recherche académique et recherche appliquée;ThesisSection;68;65;3;incoherent;5_Chapitre_1.pdf p.65;I.1.1;58;non;sequelle de renumerotation v100-v106 (la cle a change de sens) — PROUVE : ce noeud portait la cle « I.1.2 » dans grc20-these-mael-rolland-v96.json, et son page_start 68 est exactement la page imprimee de « I.1.2 » , la valeur a suivi le noeud, pas la section — la page de « I.1.1.b » est p.65 | table des matieres imprimee : accord (p.65)
I.1.2;1168d4e0c868c27a81ac371cb6879359;I.1.2 Bitcoin : une chimère théorico-pratique très politique;ThesisSection;78;68;10;incoherent;5_Chapitre_1.pdf p.68;I.1;;non;sequelle de renumerotation v100-v106 (la cle a change de sens) — PROUVE : ce noeud portait la cle « I.1.3 » dans grc20-these-mael-rolland-v96.json, et son page_start 78 est exactement la page imprimee de « I.1.3 » , la valeur a suivi le noeud, pas la section — la page de « I.1.2 » est p.68 | table des matieres imprimee : accord (p.68)
I.1.3;3f2a9945f3856123c823b24f025e438e;I.1.3 Le fonctionnement de Bitcoin suivant le script original de Nakamoto;ThesisSection;78;78;0;correct;5_Chapitre_1.pdf p.78;I.1;;non;table des matieres imprimee : accord (p.78)
I.2;596826c3187e4f8cb9034357477eb14c;I.2 Quand le « monde redéfinit » Bitcoin de manière carnavalesque;ThesisSection;;84;;absent;5_Chapitre_1.pdf p.84;Chapitre I - L'émergence du phénomène des cryptomonnaies (CM) : Bitcoin et Ethereum comme infrastructures sociotechniques;;oui;table des matieres imprimee : accord (p.84)
I.2.1;9cee8e18f8f9f0dd9853e9ecd1cf0855;I.2.1 Un développement infrastructurel au-delà du protocole Bitcoin;ThesisSection;89;89;0;correct;5_Chapitre_1.pdf p.89;I.2;;oui;table des matieres imprimee : accord (p.89)
I.2.2;93f13f18c6da412292eba80dcd630ac7;I.2.2 Un protocole débordé de « carnavalesques » improvisations d'acteurs;ThesisSection;;100;;absent;5_Chapitre_1.pdf p.100;I.2;;non;numerotation IMPRIMEE differente de section_key : la these imprime « I.2.1 » la ou section_key vaut « I.2.2 » — le script ne tranche pas laquelle a raison | table des matieres imprimee : accord (p.100)
I.2.2.b;97eb62676b0052c4ab3652fc2bd15535;I.2.2.b Un protocole Bitcoin qui s'adapte : des régulations transactionnelles très politiques;ThesisSection;100;106;-6;incoherent;5_Chapitre_1.pdf p.106;I.2.2;;oui;sequelle de renumerotation v100-v106 (la cle a change de sens) — PROUVE : ce noeud portait la cle « I.2.2 » dans grc20-these-mael-rolland-v96.json, et son page_start 100 est exactement la page imprimee de « I.2.2 » , la valeur a suivi le noeud, pas la section — la page de « I.2.2.b » est p.106 | titre partage avec un autre noeud du graphe (3ce505bcd3e74def8b78094b4cc06b6e) : une reparation mecanique leur donnerait la meme page — arbitrage auteur | table des matieres imprimee : accord (p.106)
I.3;6c2bbf0e45bc44ffa1d65b186df700c0;I.3 Ethereum : une rupture assumée d'avec Bitcoin et les premiers Altcoins;ThesisSection;;109;;absent;5_Chapitre_1.pdf p.109;Chapitre I - L'émergence du phénomène des cryptomonnaies (CM) : Bitcoin et Ethereum comme infrastructures sociotechniques;;non;table des matieres imprimee : accord (p.109)
I.3.1;c5eef5d754c64a30a9d163e59e1d5c88;I.3.1 De la constellation des Altcoins : construire « sur » ou « à côté » de Bitcoin;ThesisSection;;111;;absent;5_Chapitre_1.pdf p.111;I.3;;non;table des matieres imprimee : accord (p.111)
I.3.2;ed2c565cbede474da7b6144bcb22d753;I.3.2 Ethereum : continuité et rupture d'avec Bitcoin et les expériences passées;ThesisSection;;123;;absent;5_Chapitre_1.pdf p.123;I.3;;oui;table des matieres imprimee : accord (p.123)
I.3.3;46111186b53041829a0a98218f9611fe;I.3.3 Ethereum, des recompositions d'alliances contre les rigidités de Bitcoin;ThesisSection;;128;;absent;5_Chapitre_1.pdf p.128;I.3;;non;table des matieres imprimee : accord (p.128)
I.4;3268b571c4ce4389bf99a35c93ed287b;I.4 Conclusion du Chapitre I;ThesisSection;;140;;absent;5_Chapitre_1.pdf p.140;Chapitre I - L'émergence du phénomène des cryptomonnaies (CM) : Bitcoin et Ethereum comme infrastructures sociotechniques;;non;table des matieres imprimee : accord (p.140)
II.1;87a54f067fbb44f7b32c4207fa23a3b2;II.1 « Les CM ne sont pas monnaie ! » : arguments contre le caractère monétaire des CM;ThesisSection;;147;;absent;6_Chapitre_2.pdf p.147;Chapitre II - Dépasser la controverse du statut monétaire des CM par un institutionnalisme intéressé aux usages;;non;table des matieres imprimee : accord (p.147)
II.1.1;2d09c424cad590c4128840b9443ff853;II.1.1 La critique des CM depuis les grands courants de théorie monétaire;ThesisSection;148;148;0;correct;6_Chapitre_2.pdf p.148;II.1;;non;table des matieres imprimee : accord (p.148)
II.1.1.a;f07c8415a468b6c900bd14b3cefa24fb;II.1.1.a Les critiques instrumentales fondées sur des fonctions monétaires canoniques;ThesisSection;148;148;0;correct;6_Chapitre_2.pdf p.148;II.1.1;148;non;table des matieres imprimee : accord (p.148)
II.1.1.b;eda05ae2f601e62bf53294a2be373d2a;II.1.1.b Une monnaie « créature de l'État » : les critiques nominalistes et chartalistes;ThesisSection;154;151;3;incoherent;6_Chapitre_2.pdf p.151;II.1.1;148;non;sequelle de renumerotation v100-v106 (la cle a change de sens) — PROUVE : ce noeud portait la cle « II.1.2 » dans grc20-these-mael-rolland-v96.json, et son page_start 154 est exactement la page imprimee de « II.1.2 » , la valeur a suivi le noeud, pas la section — la page de « II.1.1.b » est p.151 | table des matieres imprimee : accord (p.151)
II.1.2;e70632a4b3ef19a155ae8cdbfb87ed25;II.1.2 Les CM comme épreuve d'explicitation de l'argent : des « monstres monétaires » difficilement qualifiables;ThesisSection;154;154;0;correct;6_Chapitre_2.pdf p.154;II.1;;non;table des matieres imprimee : accord (p.154)
