cle_canonique;niveau;chapitre;titre_md;ligne_md;etat;id_graphe;nom_graphe
A;1;intro;La gouvernance des CM : construction de notre objet de recherche;72;PRESENTE_TITRE_DIVERGENT;0fcc7028560c47cc9b82309f469b700c;A. La gouvernance des cryptomonnaies : construction de notre objet de recherche
B;1;intro;La gouvernance des CM dévoilée par leurs crises : un institutionnalisme monétaire secondé d'une sociologie des sciences et techniques;108;PRESENTE;21ff5747290e4951a3b0b601ddbbe9d6;B. La gouvernance des CM dévoilée par leurs crises : un institutionnalisme articulé à une sociologie des sciences et techniques
C;1;intro;Une démarche ethnographique, pour un terrain d\'enquête multi-niveau;176;PRESENTE;018c87f7337246b99ab36add53a537e3;C. Une démarche ethnographique, pour un terrain d'enquête multi-niveau
D;1;intro;Objectifs, Apports et Organisation générale de la thèse;274;PRESENTE;7a1965a429f1468180346e845d793eab;D. Objectifs, apports et organisation générale de la thèse
E;1;intro;Déclaration d'intérêts;296;PRESENTE;280a842a11bd4101b743f6527821c04e;E. Déclaration d'intérêts
I.1;1;chap1;Quand Bitcoin définit son monde… : l'aloi politique d'une CM pionnière;95;PRESENTE;179eaeedc85c47a09b7a4ada23fc825b;I.1 Quand Bitcoin définit son monde… : l'aloi politique d'une CM pionnière
I.2;1;chap1;Quand le « *monde redéfinit* » Bitcoin de manière carnavalesque;225;PRESENTE;596826c3187e4f8cb9034357477eb14c;I.2 Quand le 'monde redéfinit' Bitcoin de manière carnavalesque
I.3;1;chap1;Ethereum : une rupture assumée d'avec Bitcoin et les premiers *Altcoins*;333;PRESENTE;6c2bbf0e45bc44ffa1d65b186df700c0;I.3 Ethereum : une rupture assumée d'avec Bitcoin et les premiers altcoins
I.4;1;chap1;Conclusion du Chapitre I;453;PRESENTE;3268b571c4ce4389bf99a35c93ed287b;I.4 Conclusion du Chapitre I
II.1;1;chap2;« Les CM ne sont pas monnaie ! » : arguments contre le caractère monétaire des CM;107;PRESENTE;87a54f067fbb44f7b32c4207fa23a3b2;II.1 « Les CM ne sont pas monnaie ! » : arguments contre le caractère monétaire des CM
II.2;1;chap2;« Pourtant, elles font monnaie » ! à l'aune d'un nominalisme « non étatiste » attentif aux usages;191;PRESENTE;38e637cc84f14883b96d064b8e387c0f;II.2 « Pourtant, elles font monnaie ! » : à l'aune d'un nominalisme « non étatiste » attentif aux usages
II.3;1;chap2;Au‑delà de la revendication d'une absence de gouvernance !;303;PRESENTE;d622d318825741cda43212d7831a88c7;II.3 Au‑delà de la revendication d’une absence de gouvernance !
II.4;1;chap2;Conclusion du Chapitre II;449;PRESENTE;53461143c45d4413af3d6be003a34f27;II.4 Conclusion du Chapitre II
III.1;1;chap3;Crise Bitcoin CVE 2018-17144 : d'une crise à de nombreuses autres…;37;PRESENTE;5a5684979bf84b37af3771f915f677e2;III.1 Crise Bitcoin CVE 2018-17144 : d'une crise à de nombreuses autres…
