id;date;precision;nature;intitule;phase;domaine_8;systeme;acteur_principal;acteur_secondaire;arene;type_acte;type_acte_2;effet_prop_monetaires;crise;fil;source;notes
E001;2008-07-18;jour;acte;Depot du nom de domaine bitcoin.org;poc;iv*;bitcoin;core_devs;;entreprises_services;innovation_infrastructurelle;;nd;non;genese;ch.I l.265 + l.113;borne d'ouverture de la chronologie [CHANTIER: l.113 situe l'enregistrement en janv. 2009]
E002;2008-10-31;jour;acte;Publication du WP via la Cryptography Mailing List;poc;iv*;bitcoin;core_devs;;listes_forums;innovation_protocolaire;;nd;non;genese;ch.I l.113;
E003;2009-01-03;jour;acte;Enregistrement de genese;poc;vi;bitcoin;core_devs;;on_chain;innovation_protocolaire;;nd;non;genese;ch.I l.169 + n.14 l.487;titre du Times inscrit (n.14) - encadre rouge fig.
E004;2009-01-09;jour;acte;Publication du client Bitcoin-Qt v0.1;poc;iii;bitcoin;core_devs;;depots_de_code;innovation_protocolaire;;nd;non;portefeuilles;ch.I l.269;le texte situe le client dans le domaine portefeuilles (orange)
E005;2009-01;mois;acte;Fondation du forum Bitcointalk;poc;iv*;bitcoin;core_devs;communautes_forums;listes_forums;innovation_infrastructurelle;;nd;non;genese;ch.I l.113;
E006;2009-01-12;jour;acte;Premiere transaction (10 BTC - Nakamoto vers Finney);poc;i*;bitcoin;core_devs;;on_chain;adoption;;nd;non;acces-usage;ch.I l.265;
E007;2009-10-12;jour;acte;Premier echange BTC/dollar (Malmi - NewLibertyStandard);poc;i*;bitcoin;communautes_forums;;marches_plateformes;financiarisation;;nd;non;marches;ch.I n.75 l.609;5050 BTC pour 5.02 dollars - reglement via PayPal
E008;2010;annee;acte;Lancement de MtGox (McCaleb);poc;i*;bitcoin;entrepreneurs_exchanges;;marches_plateformes;financiarisation;;liquidite_convertibilite(+);non;marches;ch.I l.269-271;profondeur de liquidite - produit un cours (texte)
E009;2010;annee;seuil;MtGox concentre pres de 70 pct des volumes (2010-2014);poc;i*;bitcoin;nd;;marches_plateformes;nd;;liquidite_convertibilite(+);non;marches;ch.I l.269;
E010;2010;annee;acte;MyBitcoin - premier portefeuille custodial;poc;iii;bitcoin;entrepreneurs_exchanges;;entreprises_services;innovation_infrastructurelle;;nd;non;portefeuilles;ch.I n.74 l.607;
E011;2010;annee;acte;Sequestre communautaire par Theymos (frais 1 pct);poc;iii*;bitcoin;communautes_forums;;listes_forums;innovation_infrastructurelle;;conf_methodique(+);non;portefeuilles;ch.I n.75 l.609;
E012;2010-03-17;jour;acte;Bitcoinmarket.com - premiere bourse et premiere cotation;poc;i*;bitcoin;entrepreneurs_exchanges;;marches_plateformes;financiarisation;;valorisation(+);non;marches;ch.I n.75 l.609;
E013;2010-05-22;jour;acte;Premier achat de bien physique (2 pizzas - 10000 BTC);poc;i;bitcoin;communautes_forums;;marches_plateformes;adoption;;usage_paiement(+);non;acces-usage;ch.I n.75 l.609;via intermediaire individuel (Hanyecz)
E014;2010-06;mois;acte;Premier Faucet (Andresen - 50 BTC par visite);poc;i*;bitcoin;core_devs;;entreprises_services;adoption;;usage_paiement(+);non;acces-usage;ch.I l.269;elargir les canaux d'acces (texte)
E015;2010-08-15;jour;acte;Bogue Value Overflow (CVE-2010-5139 - crise n 4);poc;vi;bitcoin;core_devs;mineurs;on_chain;incident;innovation_protocolaire;nd;oui (n 4);crises-protocolaires;ch.III l.221 + l.237;scission de 51 blocs - remise en ordre Nakamoto et premiers devs - recensement seul (SASE)
E016;2010-11-27;jour;acte;Slushpool - premier pool de minage cooperatif;poc;ii;bitcoin;mineurs;;entreprises_services;innovation_infrastructurelle;;nd;non;minage;ch.I l.315;controverse indigene (minage cooperatif = communisme)
E017;2010-12;mois;acte;BitLaundry - premier service de mixage;poc;iii;bitcoin;entrepreneurs_exchanges;;entreprises_services;innovation_infrastructurelle;;fongibilite(+);non;portefeuilles;ch.I n.74 l.607;preserver la fongibilite (texte)
E018;2010-12;mois;acte;Article PC World sur WikiLeaks - Bitcointalk sature;poc;iv*;bitcoin;medias_connaissance;;presse_medias;qualification_publique;;nd;non;mediatisation;ch.I l.273;nid de frelons (Nakamoto)
E019;2010-12-12;jour;acte;Dernier message public de Nakamoto;poc;vi*;bitcoin;core_devs;;listes_forums;[CHANTIER type];;nd;non;genese;ch.I l.113 + n.101 l.661;retrait du concepteur - hors typologie actuelle
