event_id;actor_id;actor_name;role;confidence;note
E015;core_devs;J. Garzik;revelateur;haute;pointe l'enregistrement 74638 sur Bitcointalk (ch.III l.221)
E015;nd;auteur de l'enregistrement 74638;exploiteur;moyenne;l'acte est énoncé (émission surnuméraire, ch.III l.237), son auteur ne l'est pas
E015;core_devs;Nakamoto et premiers devs;correcteur;haute;« remise en ordre » (ch.III l.221)
E015;core_devs;Nakamoto;coordinateur;moyenne;« travail de remise en ordre coordonné » (ch.III l.237)
E015;mineurs;;validateur;haute;la « chaîne légitime » l'emporte en PoW (ch.III l.237)
E015;communautes_forums;bitcoiners de Bitcointalk;observateur;moyenne;« échangent leurs analyses » (ch.III l.221)
E029;entrepreneurs_exchanges;MtGox;affecte;haute;« problèmes de sécurité rencontrés par MtGox » (ch.I l.271) — aucun initiateur énoncé
E044;core_devs;;initiateur;haute;BIP n°16 donne lieu aux solutions multi-signatures (ch.I l.277)
E044;entrepreneurs_exchanges;BitGo et services de portefeuilles;validateur;moyenne;« éventail diversifié de services » (ch.I l.277) · intégrée par BitGo dès août (note E044)
E052;entrepreneurs_exchanges;Tether Ltd;initiateur;haute;émission du premier stablecoin dollar via Omni (ch.I l.373 + n.87 l.633)
E052;medias_connaissance;J.P. Koning;observateur;basse;lecture « dollarisation de Bitcoin » (note E052, Koning 2015)
E055;communautes_forums;Coiners déposants;affecte;haute;« laissé de nombreux Coiners sans le sou » (ch.I l.313)
E055;entrepreneurs_exchanges;MtGox;affecte;moyenne;la bourse ferme (fig. n6 V2.8 : F037)
E055;nd;voleurs des fonds;exploiteur;moyenne;« suite au vol des fonds » (fig. n6 V2.8 : F037) — auteurs non énoncés
E062;core_devs;équipe Ethereum;initiateur;haute;publication de Frontier (ch.I l.399)
E062;communautes_forums;participants de la prévente;affecte;moyenne;60 000 000 d'ETH « libérés à l'adresse des participants » (ch.I l.399)
E063;entrepreneurs_exchanges;Slock It;initiateur;haute;mise en ligne et phase de création (ch.III l.549)
E063;entrepreneurs_exchanges;Slock It;coordinateur;moyenne;promotion via blog, création du Slack communautaire (ch.III l.543)
E063;communautes_forums;DAO Token Holders;affecte;haute;envoient leurs ETH « moins par confiance que par foi » (ch.III l.549)
E064;medias_connaissance;auteurs du papier d'alerte;revelateur;haute;« les premières alertes n'attendent pas la fin de l'ICO pour éclater publiquement » (ch.III l.553)
E064;communautes_forums;devs d'autres projets;observateur;basse;« s'y intéressent » (ch.III l.557)
E065;nd;attaquant anonyme;exploiteur;haute;hors typologie v1, précédent E065 (ch.III l.561)
E065;communautes_forums;DAO Token Holders et porteurs d'ETH;affecte;haute;« krach du cours DAO Token et surtout celui de l'Ether » (ch.III l.561)
E065;communautes_forums;Griff Green et communauté;revelateur;moyenne;« découvrir en temps réel l'attaque » (ch.III l.561)
E077;core_devs;Awemany (dev Bitcoin Cash);revelateur;haute;découvreur « extérieur » du 17/09/2018 (ch.III l.39)
E077;core_devs;Awemany, équipes Core et ABC;coordinateur;moyenne;divulgation discrète inter-implémentations (ch.III n.19 l.801)
E077;core_devs;P. Wuille, G. Maxwell et Bitcoin Core;correcteur;haute;correctif secret 0.16.3 (ch.III l.11 + l.125)
E077;mineurs;nœuds et mineurs mettant à jour;validateur;haute;mobilisation communautaire autour de 0.16.3 (ch.III l.125)
E077;medias_connaissance;Bitcoin Optech;revelateur;moyenne;publicisation post-correctif (ch.III l.125 + n.37)
F069;core_devs;cellule dev Ethereum;initiateur;haute;fork programmé puis activé le 20/07 (ch.III l.727)
F069;core_devs;;correcteur;haute;« jeux d'écritures » renvoyant l'historique du vol (ch.III l.727)
F069;core_devs;cellule Skype (10-20 personnes);coordinateur;haute;groupes Skype avec Slock It, Buterin, etc. (ch.III l.569)
F069;mineurs;;validateur;haute;« après un signalement majoritaire » (ch.III l.727)
F069;communautes_forums;votants du Carbon Vote;validateur;haute;vote pondéré par les ETH (ch.III l.715-717)
F069;communautes_forums;partisans d'Ethereum Classic;opposant;haute;sécession protocolaire et communautaire (ch.III l.731-747)
F069;nd;White Hat Group;correcteur;moyenne;« protéger, sécuriser et distribuer les fonds » (ch.III l.741) — groupe ad hoc hors typologie
G005;core_devs;;correcteur;moyenne;devs en réponse (wiki des crises via graphe, codage_justif G005)
G005;nd;;incertain;basse;exploitation « théorique, coûteuse » (wiki des crises) : les sources ne permettent pas de poser un exploiteur
G069;nd;;non_applicable;haute;seuil programmé par le protocole : aucun acteur n'agit (description graphe)
G143;core_devs;Sunny King et Scott Nadal;initiateur;haute;lancement de la première CM en Proof-of-Stake (description graphe)
