id;date;crisis_no;cve;intitule;systeme;domaine_8;acteur_principal;acteur_secondaire;arene;type_acte;type_acte_2;fil;codage_statut;codage_justif;notes
G003;2010;1;CVE-2010-5141;CVE-2010-5141 (Vol de clés privées);bitcoin;;nd;core_devs;on_chain;incident;innovation_protocolaire;crises-protocolaires;propose(lot1);"wiki des crises (ch.III l.181-249) via graphe v97 : crisisType=Vol (Theft) ; exploited=non ; correctif protocolaire implique ; attaquant hors typologie (precedent E065) - devs en reponse ; effet reseau -> on_chain";
G014;2010-07-28;2;CVE-2010-5137;CVE-2010-5137 — OP_LSHIFT crash;bitcoin;;nd;core_devs;on_chain;incident;innovation_protocolaire;crises-protocolaires;propose(lot1);"wiki des crises (ch.III l.181-249) via graphe v97 : crisisType=DOS (Déni de service) ; exploited=non ; correctif protocolaire implique ; attaquant hors typologie (precedent E065) - devs en reponse ; effet reseau -> on_chain";
G015;2010-07-29;3;CVE-2010-5138;CVE-2010-5138 — Unlimited SigOp DoS via OP_CHECKSIG;bitcoin;;nd;core_devs;on_chain;incident;innovation_protocolaire;crises-protocolaires;propose(lot1);"wiki des crises (ch.III l.181-249) via graphe v97 : crisisType=DOS (Déni de service) ; exploited=non (démonstration testnet seulement) ; correctif protocolaire implique ; attaquant hors typologie (precedent E065) - devs en reponse ; effet reseau -> on_chain";
G001;2010-08-15;4;;Bitcoin CVE 2010-5139 (Value Overflow);bitcoin;;core_devs;;on_chain;incident;innovation_protocolaire;crises-protocolaires;propose(lot1);"wiki des crises (ch.III l.181-249) via graphe v97 : crisisType=Faux monnayage (Inflation) + Scission du réseau (Netsplit) ; correctif protocolaire implique ; bogue decouvert/corrige par les devs (precedent E015) ; effet reseau -> on_chain";
G016;2010-09-29;5;CVE-2010-5140;CVE-2010-5140 — Never confirming transactions;bitcoin;;nd;core_devs;on_chain;incident;innovation_protocolaire;crises-protocolaires;propose(lot1);"wiki des crises (ch.III l.181-249) via graphe v97 : crisisType=DOS (Déni de service) ; exploited=oui (involontaire, perturbation réseau) ; correctif protocolaire implique ; attaquant hors typologie (precedent E065) - devs en reponse ; effet reseau -> on_chain";
G017;2011-11-11;6;CVE-2011-4447;CVE-2011-4447 — Wallet non-encryption;bitcoin;;core_devs;;depots_de_code;incident;innovation_protocolaire;crises-protocolaires;propose(lot1);"wiki des crises (ch.III l.181-249) via graphe v97 : crisisType=Exposition (Exposure) ; exploited=non confirmé ; correctif protocolaire implique ; bogue decouvert/corrige par les devs (precedent E015) ; traitement en depot de code";
G018;2012-03-07;7;CVE-2012-1909;CVE-2012-1909 — Transaction overwriting;bitcoin;;core_devs;;on_chain;incident;innovation_protocolaire;crises-protocolaires;propose(lot1);"wiki des crises (ch.III l.181-249) via graphe v97 : crisisType=Scission du réseau (Netsplit) ; correctif protocolaire implique ; bogue decouvert/corrige par les devs (precedent E015) ; effet reseau -> on_chain";
G004;2012;8;CVE-2012-1910;Bogue Bitcoin-Qt Windows 2012 (Crash nœuds);bitcoin;;core_devs;;depots_de_code;incident;;crises-protocolaires;propose(lot1);"wiki des crises (ch.III l.181-249) via graphe v97 : crisisType=Inconnue (Unknown) ; exploited=non confirmé ; bogue decouvert/corrige par les devs (precedent E015) ; traitement en depot de code";
G005;;9;;Crise BIP-0016 (Attaque P2SH);bitcoin;;nd;core_devs;on_chain;incident;;crises-protocolaires;propose(lot1);"wiki des crises (ch.III l.181-249) via graphe v97 : crisisType=Fausse confirmation (Fake Conf) — Soft fork P2SH ; exploited=oui (théoriquement, coûteux) ; attaquant hors typologie (precedent E065) - devs en reponse ; effet reseau -> on_chain";
G019;2012-05-12;10;CVE-2012-3789;CVE-2012-3789 — (Lack of) orphan txn resource limits;bitcoin;;nd;core_devs;on_chain;incident;innovation_protocolaire;crises-protocolaires;propose(lot1);"wiki des crises (ch.III l.181-249) via graphe v97 : crisisType=DOS (Déni de service) ; correctif protocolaire implique ; attaquant hors typologie (precedent E065) - devs en reponse ; effet reseau -> on_chain";
G020;2012-05-14;11;CVE-2012-2459;CVE-2012-2459 — Block hash collision (via merkle root);bitcoin;;core_devs;;on_chain;incident;innovation_protocolaire;crises-protocolaires;propose(lot1);"wiki des crises (ch.III l.181-249) via graphe v97 : crisisType=Scission du réseau (Netsplit) ; exploited=non ; correctif protocolaire implique ; bogue decouvert/corrige par les devs (precedent E015) ; effet reseau -> on_chain";
G021;2012-08-23;12;CVE-2012-4683;CVE-2012-4683 — Targeted DoS by CPU exhaustion using alerts;bitcoin;;nd;core_devs;on_chain;incident;innovation_protocolaire;crises-protocolaires;propose(lot1);"wiki des crises (ch.III l.181-249) via graphe v97 : crisisType=DOS (Déni de service) ; correctif protocolaire implique ; attaquant hors typologie (precedent E065) - devs en reponse ; effet reseau -> on_chain";
G022;2012-08-24;13;CVE-2012-4684;CVE-2012-4684 — Network-wide DoS using malleable signatures in alerts;bitcoin;;nd;core_devs;on_chain;incident;innovation_protocolaire;crises-protocolaires;propose(lot1);"wiki des crises (ch.III l.181-249) via graphe v97 : crisisType=DOS (Déni de service) ; correctif protocolaire implique ; attaquant hors typologie (precedent E065) - devs en reponse ; effet reseau -> on_chain";
G023;2012-09-16;14;CVE-2012-4682;CVE-2012-4682 — DOS (manque d'informations);bitcoin;;nd;core_devs;on_chain;incident;innovation_protocolaire;crises-protocolaires;propose(lot1);"wiki des crises (ch.III l.181-249) via graphe v97 : crisisType=DOS (Déni de service) ; correctif protocolaire implique ; attaquant hors typologie (precedent E065) - devs en reponse ; effet reseau -> on_chain";
G024;2013-01-09;15;CVE-2013-2293;CVE-2013-2293 — Continuous hard disk seek;bitcoin;;nd;core_devs;on_chain;incident;innovation_protocolaire;crises-protocolaires;propose(lot1);"wiki des crises (ch.III l.181-249) via graphe v97 : crisisType=DOS (Déni de service) ; correctif protocolaire implique ; attaquant hors typologie (precedent E065) - devs en reponse ; effet reseau -> on_chain";
G025;2013-01-11;16;CVE-2013-2272;CVE-2013-2272 — Remote discovery of node's wallet addresses;bitcoin;;core_devs;;depots_de_code;incident;innovation_protocolaire;crises-protocolaires;propose(lot1);"wiki des crises (ch.III l.181-249) via graphe v97 : crisisType=Exposition (Exposure) ; correctif protocolaire implique ; bogue decouvert/corrige par les devs (precedent E015) ; traitement en depot de code";
G026;2013-01-30;17;CVE-2013-2292;CVE-2013-2292 — A transaction that takes at least 3 minutes to verify;bitcoin;;nd;core_devs;on_chain;incident;innovation_protocolaire;crises-protocolaires;propose(lot1);"wiki des crises (ch.III l.181-249) via graphe v97 : crisisType=DOS (Déni de service) ; exploited=non ; correctif protocolaire implique ; attaquant hors typologie (precedent E065) - devs en reponse ; effet reseau -> on_chain";
G027;2013-01-30;18;CVE-2013-2273;CVE-2013-2273 — Predictable change output;bitcoin;;core_devs;;depots_de_code;incident;innovation_protocolaire;crises-protocolaires;propose(lot1);"wiki des crises (ch.III l.181-249) via graphe v97 : crisisType=Exposition (Exposure) ; correctif protocolaire implique ; bogue decouvert/corrige par les devs (precedent E015) ; traitement en depot de code";
