event_id;intitule;systeme;date;crisis_no;cve;statut_v3_2;statut_propose;granularite;acteur_principal_mode;acteur_principal_id;acteur_principal_nom;effet_prop_monetaires_Q7;confidence;source_enonce;note
G013;Genesis Block — Lancement du protocole Bitcoin;bitcoin;2009-01-03;;;chantier;a_arbitrer;acte_ponctuel;a_arbitrer;;;nd;basse;wiki des crises (ch.III l.181-249) via graphe;Genesis Block typé CRISE (crisisType=GENESIS, type_acte=incident) alors que c'est le lancement du protocole, et recouvrement probable avec la ligne d'événement du calibrage : qualification à trancher
G003;CVE-2010-5141 (Vol de clés privées);bitcoin;2010;1;CVE-2010-5141;chantier;validee;crise_agregee;systeme_protocole;d35d720e1fa24d9fbe665a90ac0abc73;protocole Bitcoin;integrite_monnayage(±);moyenne;wiki des crises (ch.III l.181-249) via graphe + ch.III l.249;Theft n°1 non exploité : prise de contrôle d'UCN possible hors règles — « conservation » de la définition gelée, ± par r2 (mise en cause non activée)
G014;CVE-2010-5137 — OP_LSHIFT crash;bitcoin;2010-07-28;2;CVE-2010-5137;chantier;validee;crise_agregee;systeme_protocole;d35d720e1fa24d9fbe665a90ac0abc73;protocole Bitcoin;conf_methodique(±);moyenne;wiki des crises (ch.III l.181-249) via graphe + ch.III l.243;DOS n°2 non exploité : érosion de la confiance méthodique énoncée pour la classe (13 crises nommées) — ± car mise en cause non activée (r2 par extension)
G015;CVE-2010-5138 — Unlimited SigOp DoS via OP_CHECKSIG;bitcoin;2010-07-29;3;CVE-2010-5138;chantier;validee;crise_agregee;systeme_protocole;d35d720e1fa24d9fbe665a90ac0abc73;protocole Bitcoin;conf_methodique(±);moyenne;wiki des crises (ch.III l.181-249) via graphe + ch.III l.243;DOS n°3, démonstration testnet seulement — ± (r2 par extension)
G001;Bitcoin CVE 2010-5139 (Value Overflow);bitcoin;2010-08-15;4;;chantier;douteuse;crise_agregee;systeme_protocole;d35d720e1fa24d9fbe665a90ac0abc73;protocole Bitcoin;integrite_monnayage(-) conf_ethique(-) conf_hierarchique(-);haute;ch.III l.219 + l.221 + l.237;doublon avéré avec E015 (même crise n°4, signalé dès le rapport lot 1) : canonique à désigner — rôles déjà portés par E015 au fichier v0, non dupliqués ici
G016;CVE-2010-5140 — Never confirming transactions;bitcoin;2010-09-29;5;CVE-2010-5140;chantier;validee;crise_agregee;systeme_protocole;d35d720e1fa24d9fbe665a90ac0abc73;protocole Bitcoin;conf_methodique(-) usage_paiement(-);moyenne;wiki des crises (ch.III l.181-249) via graphe + ch.III l.243;DOS n°5 exploité (involontairement) : perturbation réseau réelle — érosion méthodique et praticité des paiements remises en cause (l.243) · involontaire : aucun exploiteur codé
G017;CVE-2011-4447 — Wallet non-encryption;bitcoin;2011-11-11;6;CVE-2011-4447;chantier;validee;crise_agregee;systeme_protocole;d35d720e1fa24d9fbe665a90ac0abc73;protocole Bitcoin;nd;haute;wiki des crises (ch.III l.181-249) via graphe;Exposition n°6 : accès à des données d'utilisateurs — hors propriétés monétaires, aucune dimension Q7 ne s'applique, nd assumé
G004;Bogue Bitcoin-Qt Windows 2012 (Crash nœuds);bitcoin;2012;8;CVE-2012-1910;chantier;chantier;crise_agregee;systeme_protocole;d35d720e1fa24d9fbe665a90ac0abc73;protocole Bitcoin;nd;basse;wiki des crises (ch.III l.181-249) via graphe;crisisType Inconnue, exploited non confirmé, date à l'année : information insuffisante — chantier conservé
G018;CVE-2012-1909 — Transaction overwriting;bitcoin;2012-03-07;7;CVE-2012-1909;chantier;validee;crise_agregee;systeme_protocole;d35d720e1fa24d9fbe665a90ac0abc73;protocole Bitcoin;conf_methodique(±);moyenne;wiki des crises (ch.III l.181-249) via graphe + ch.III l.231;Netsplit n°7 non réalisé en scission durable : classe « peuvent causer un effondrement » — ± (r2 par extension)
G019;CVE-2012-3789 — (Lack of) orphan txn resource limits;bitcoin;2012-05-12;10;CVE-2012-3789;chantier;validee;crise_agregee;systeme_protocole;d35d720e1fa24d9fbe665a90ac0abc73;protocole Bitcoin;conf_methodique(±);moyenne;wiki des crises (ch.III l.181-249) via graphe + ch.III l.243;DOS n°10 — ± (r2 par extension)
