event_id;actor_id;actor_name;role;confidence;note
G003;core_devs;;correcteur;haute;correctif protocolaire énoncé (wiki des crises via graphe, codage_justif)
G004;core_devs;;correcteur;haute;correctif protocolaire énoncé (wiki des crises via graphe, codage_justif)
G006;core_devs;;correcteur;haute;correctif protocolaire énoncé (wiki des crises via graphe, codage_justif)
G006;nd;auteur de la double dépense OKPAY;exploiteur;haute;double dépense ~10 000£ énoncée (wiki des crises) — auteur non nommé
G007;core_devs;;correcteur;haute;correctif protocolaire énoncé (wiki des crises via graphe, codage_justif)
G007;core_devs;;initiateur;haute;déploiement du soft fork BIP-0042 (ch.III l.223)
G009;core_devs;;correcteur;haute;correctif protocolaire énoncé (wiki des crises via graphe, codage_justif)
G010;core_devs;;correcteur;haute;correctif protocolaire énoncé (wiki des crises via graphe, codage_justif)
G011;regulateurs_etats;FBI;initiateur;haute;« fermeture réglementaire — saisie par les autorités » (wiki des crises)
G014;core_devs;;correcteur;haute;correctif protocolaire énoncé (wiki des crises via graphe, codage_justif)
G015;core_devs;;correcteur;haute;correctif protocolaire énoncé (wiki des crises via graphe, codage_justif)
G016;core_devs;;correcteur;haute;correctif protocolaire énoncé (wiki des crises via graphe, codage_justif)
G017;core_devs;;correcteur;haute;correctif protocolaire énoncé (wiki des crises via graphe, codage_justif)
G018;core_devs;;correcteur;haute;correctif protocolaire énoncé (wiki des crises via graphe, codage_justif)
G019;core_devs;;correcteur;haute;correctif protocolaire énoncé (wiki des crises via graphe, codage_justif)
G020;core_devs;;correcteur;haute;correctif protocolaire énoncé (wiki des crises via graphe, codage_justif)
G021;core_devs;;correcteur;haute;correctif protocolaire énoncé (wiki des crises via graphe, codage_justif)
G022;core_devs;;correcteur;haute;correctif protocolaire énoncé (wiki des crises via graphe, codage_justif)
G023;core_devs;;correcteur;haute;correctif protocolaire énoncé (wiki des crises via graphe, codage_justif)
G024;core_devs;;correcteur;haute;correctif protocolaire énoncé (wiki des crises via graphe, codage_justif)
G025;core_devs;;correcteur;haute;correctif protocolaire énoncé (wiki des crises via graphe, codage_justif)
G026;core_devs;;correcteur;haute;correctif protocolaire énoncé (wiki des crises via graphe, codage_justif)
G027;core_devs;;correcteur;haute;correctif protocolaire énoncé (wiki des crises via graphe, codage_justif)
G028;core_devs;;correcteur;haute;correctif protocolaire énoncé (wiki des crises via graphe, codage_justif)
G029;core_devs;;correcteur;haute;correctif protocolaire énoncé (wiki des crises via graphe, codage_justif)
G030;core_devs;;correcteur;haute;correctif protocolaire énoncé (wiki des crises via graphe, codage_justif)
G031;core_devs;;correcteur;haute;correctif protocolaire énoncé (wiki des crises via graphe, codage_justif)
G032;core_devs;;correcteur;haute;correctif protocolaire énoncé (wiki des crises via graphe, codage_justif)
G033;core_devs;;correcteur;haute;correctif protocolaire énoncé (wiki des crises via graphe, codage_justif)
G033;core_devs;;initiateur;haute;déploiement du soft fork BIP-66 (wiki des crises)
G034;core_devs;;correcteur;haute;correctif protocolaire énoncé (wiki des crises via graphe, codage_justif)
G035;core_devs;;correcteur;haute;correctif protocolaire énoncé (wiki des crises via graphe, codage_justif)
G035;core_devs;;initiateur;haute;déploiement du soft fork BIP-65 (wiki des crises)
G036;core_devs;;correcteur;haute;correctif protocolaire énoncé (wiki des crises via graphe, codage_justif)
G036;core_devs;;initiateur;haute;déploiement des soft forks BIP-68/112/113 (wiki des crises)
G037;core_devs;;correcteur;haute;correctif protocolaire énoncé (wiki des crises via graphe, codage_justif)
G038;communautes_forums;partisans UASF;initiateur;moyenne;« User Activated Soft Fork » — énoncé par l'intitulé wiki seul
G038;core_devs;;correcteur;haute;correctif protocolaire énoncé (wiki des crises via graphe, codage_justif)
G039;core_devs;;correcteur;haute;correctif protocolaire énoncé (wiki des crises via graphe, codage_justif)
G040;core_devs;;correcteur;haute;correctif protocolaire énoncé (wiki des crises via graphe, codage_justif)
G041;core_devs;;correcteur;haute;correctif protocolaire énoncé (wiki des crises via graphe, codage_justif)
G042;core_devs;;correcteur;haute;correctif protocolaire énoncé (wiki des crises via graphe, codage_justif)
G042;core_devs;;initiateur;haute;déploiement du soft fork BIP-0034 (wiki des crises)
